Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_minus_k,one_plus_k,acceptance_fraction
K2-232b,MCS,False,0.1115256812388215,0.0304885709332474,0.2000250909682694,0.0867134400055675,0.0810371103055741,0.0884994097294478,0.08811,0.91189,1.08811,0.5679062500000001
Qatar-10b,MCS,False,0.3343571828613552,0.2278548247567154,0.4424826771798602,0.1090614056115806,0.1065023581046397,0.108125494318505,0.1265,0.8734999999999999,1.1265,0.4938125
WASP-60b,MCS,False,0.3312034496279108,0.0852610307365751,0.6241941611252052,0.2794474679009864,0.2459424188913356,0.2929907114972944,0.077522727,0.922477273,1.077522727,0.4943541666666666
WASP-20b,MCS,False,0.7045377392133966,0.558231977507907,0.8107084937190034,0.1533107931107587,0.1463057617054896,0.1061707545056068,0.107930349,0.892069651,1.107930349,0.4973229166666666
HATS-52b,MCS,False,0.4487681371556684,0.3182267456501935,0.584424508611016,0.1394392415596294,0.1305413915054749,0.1356563714553476,0.1352,0.8648,1.1352,0.4942395833333333
TOI-1820b,MCS,False,0.8537128917338692,0.7991921685830021,0.906915570882172,0.0539918389058145,0.054520723150867,0.0532026791483027,0.0777,0.9223,1.0777,0.3664270833333333
TOI-2202b,MCS,False,0.3229930513640659,0.25643725824268,0.3876700839084306,0.0661725991766752,0.0665557931213859,0.0646770325443646,0.1265,0.8734999999999999,1.1265,0.5688958333333333
TOI-4087b,MCS,False,0.3092567832735476,0.2250879477785389,0.3882479732365504,0.0871145120761956,0.0841688354950086,0.0789911899630028,0.107568134,0.892431866,1.107568134,0.5015104166666667
WASP-2b,MCS,False,0.7314674572929513,0.5708996411079209,0.8322110672170407,0.1600747491094211,0.1605678161850303,0.1007436099240894,0.12831,0.87169,1.12831,0.4945520833333333
K2-237b,MCS,False,0.1772732995515725,0.0712849509423511,0.2790270018246916,0.104151689335261,0.1059883486092213,0.101753702273119,0.119,0.881,1.119,0.5194895833333333
KELT-20b,MCS,True,0.4891428187038116,0.3837662616234031,0.5734563988198377,0.1130625702817993,0.1053765570804084,0.084313580116026,0.1144,0.8855999999999999,1.1144,0.4917291666666666
WASP-107b,MCS,False,0.0871188473828318,0.0259144217445598,0.1558759669384178,0.0661715713771825,0.0612044256382719,0.0687571195555859,0.146358976,0.853641024,1.146358976,0.4968020833333333
TOI-2498b,MCS,False,0.4332348346691205,0.1791182722152612,0.6831334173012303,0.2568589986586456,0.2541165624538593,0.2498985826321098,0.04,0.96,1.04,0.5220833333333333
WASP-197b,MCS,False,0.4155618600122411,0.3272735157417617,0.4929814209460553,0.097910979691703,0.0882883442704793,0.0774195609338141,0.0627,0.9373,1.0627,0.4985833333333332
WASP-187b,MCS,False,0.7353571844193858,0.5859749044861908,0.8587730533316302,0.1631863735768398,0.1493822799331949,0.1234158689122444,0.059551521,0.940448479,1.059551521,0.49690625
Kepler-1517b,MCS,False,0.8114745116774666,0.3892884352281041,1.3239179232377776,0.4627672478482581,0.4221860764493625,0.5124434115603109,0.050506,0.949494,1.050506,0.4930625
WASP-170b,MCS,False,0.6727896545588845,0.5254051248274092,0.779300074442166,0.1521805318167353,0.1473845297314753,0.1065104198832814,0.1175,0.8825000000000001,1.1175,0.4938854166666667
WASP-61b,MCS,False,0.0900254134671462,0.0184872852524813,0.1697304452497727,0.0778273584894166,0.0715381282146648,0.0797050317826264,0.089455287,0.910544713,1.089455287,0.4948854166666666
WASP-37b,MCS,False,0.1764451632317047,0.0479558928950872,0.3255412399995158,0.1410506431275638,0.1284892703366175,0.149096076767811,0.11884817,0.88115183,1.11884817,0.4960416666666667
WASP-46b,MCS,True,0.7180616398771543,0.5679506754632856,0.8125951723846278,0.1513037726464445,0.1501109644138687,0.0945335325074734,0.14075,0.8592500000000001,1.14075,0.4971041666666666
HD191939b,MCS,False,0.6125536512357914,0.5715581333549065,0.6563919844305188,0.0422438336958785,0.0409955178808849,0.0438383331947274,0.03319,0.96681,1.03319,0.3937083333333333
TOI-4914b,MCS,False,1.7064790134167689,1.5954754631460246,1.8206716824735991,0.1134797732228014,0.111003550270744,0.1141926690568304,0.118,0.882,1.118,0.59659375
TOI-1898b,MCS,False,1.8448417884018595,1.4249210683916032,2.302049741780929,0.445940967483873,0.4199207200102564,0.4572079533790694,0.0533987,0.9466013,1.0533987,0.59603125
WASP-17b,MCS,True,0.3791617654139129,0.3044470206128748,0.4560118237482616,0.0770509862698367,0.0747147448010381,0.0768500583343486,0.130152994,0.869847006,1.130152994,0.5857604166666666
TOI-5108b,MCS,False,0.8523960481920493,0.6737020187115126,0.9765918398048156,0.1867143299558167,0.1786940294805367,0.1241957916127662,0.0472,0.9528,1.0472,0.4943333333333333
WASP-91b,MCS,False,0.4869392494265562,0.3688403797441079,0.5958127867609575,0.126290987009654,0.1180988696824483,0.1088735373344012,0.123076239,0.876923761,1.123076239,0.49678125
WASP-121b,MCS,True,0.1478823780123013,0.1003794451257101,0.1970193729067712,0.0494024373435235,0.0475029328865911,0.0491369948944698,0.12454,0.87546,1.12454,0.4952291666666666
WASP-172b,MCS,False,0.4267376952153773,0.2609378613252142,0.6085564211868981,0.1776891970329038,0.1657998338901631,0.1818187259715207,0.084469851,0.915530149,1.084469851,0.4930104166666667
HATS-51b,MCS,False,0.3262056424468499,0.1417514513982653,0.542416027889649,0.2076743756553055,0.1844541910485845,0.2162103854427991,0.101,0.899,1.101,0.4951770833333333
WASP-173Ab,MCS,False,0.2619945306658167,0.089728894873482,0.464096873530636,0.1964253846469284,0.1722656357923347,0.2021023428648193,0.1203,0.8797,1.1203,0.49390625
Kepler-138b,MCS,False,0.7108759725895849,0.6647532684864389,0.7583366007621115,0.0465481459692906,0.046122704103146,0.0474606281725266,0.010967193,0.989032807,1.010967193,0.5894479166666666
HD118203b,MCS,False,0.1506322367882508,0.0268680899504947,0.2726203503103928,0.1228399734421189,0.1237641468377561,0.1219881135221419,0.05541,0.94459,1.05541,0.5944583333333333
WASP-136b,MCS,False,0.5706995095842275,0.4346244897241256,0.6825892642608412,0.1408987078474216,0.1360750198601019,0.1118897546766136,0.064,0.936,1.064,0.4943541666666666
WASP-186b,MCS,False,0.8475472625452007,0.6533595845633944,1.1729993258114806,0.2318883664206054,0.1941876779818063,0.3254520632662798,0.078,0.922,1.078,0.5480416666666666
TRAPPIST-1b,MCS,True,0.0893631471272272,0.0323310534435674,0.1521281058404592,0.0619427620668666,0.0570320936836597,0.062764958713232,0.0859,0.9141,1.0859,0.4952499999999999
TRAPPIST-1c,MCS,True,0.102797497586411,0.0447074800954837,0.1674865763726444,0.0615913430792554,0.0580900174909272,0.0646890787862334,0.0844,0.9156,1.0844,0.4977604166666667
TRAPPIST-1d,MCS,False,0.0665811260818783,0.0172027009186554,0.1218370102255768,0.0541335063485963,0.0493784251632228,0.0552558841436985,0.06063,0.93937,1.06063,0.4964166666666667
TRAPPIST-1e,MCS,False,0.181735210051478,0.1250620003634582,0.2406545932969089,0.0589305931548371,0.0566732096880198,0.0589193832454308,0.07079,0.92921,1.07079,0.4949270833333333
TRAPPIST-1f,MCS,False,0.3078568131285797,0.2415475054848433,0.3577456832284789,0.0693562605693749,0.0663093076437364,0.0498888700998991,0.0804,0.9196,1.0804,0.4964583333333333
TRAPPIST-1g,MCS,False,0.3731310178217184,0.2903578512740804,0.4291531986448244,0.0829603996312264,0.082773166547638,0.056022180823106,0.08692,0.91308,1.08692,0.4956562499999999
TRAPPIST-1h,MCS,False,0.3696744484020857,0.2849563704441524,0.4296593504901926,0.0839540386940582,0.0847180779579333,0.0599849020881068,0.05809,0.94191,1.05809,0.497125
WASP-148b,MCS,False,0.274936780238448,0.1823746599543773,0.3659382525290717,0.0932663061024528,0.0925621202840706,0.0910014722906236,0.08498,0.91502,1.08498,0.5940520833333334
GJ341b,MCS,False,0.2845519789374578,0.0102183876003356,0.6014033440704241,0.3135934130701526,0.2743335913371221,0.3168513651329662,0.016,0.984,1.016,0.49846875
TOI-5882b,MCS,False,0.1993920844338736,0.0578529656945489,0.3414313644153285,0.1425273013530387,0.1415391187393247,0.1420392799814548,0.0465,0.9535,1.0465,0.5950208333333333
LHS1678c,MCS,False,0.4441295957918136,0.3212901095618699,0.565787159824414,0.1235017476671139,0.1228394862299437,0.1216575640326003,0.0262,0.9738,1.0262,0.4928020833333333
Kepler-444e,MCS,False,0.2871537390631371,0.1066091259580456,0.4756360174877135,0.1864619841119762,0.1805446131050915,0.1884822784245763,0.00664,0.99336,1.00664,0.5134166666666666
WASP-62b,MCS,True,0.2320503072769376,0.1339354600437378,0.3389466444493483,0.1031306862773246,0.0981148472331998,0.1068963371724106,0.106745735,0.893254265,1.106745735,0.4953333333333333
WASP-89b,MCS,False,0.1132642017813679,0.0179921373370468,0.2076548923539439,0.0957364082198104,0.0952720644443211,0.0943906905725759,0.12144681,0.87855319,1.12144681,0.5947395833333333
XO-7b,MCS,False,0.7298581266858323,0.6880564414384901,0.7753705702769234,0.0442301030327561,0.0418016852473421,0.045512443591091,0.09532,0.90468,1.09532,0.52421875
K2-415b,MCS,False,0.330238197105322,0.1294593272060083,0.549089305542966,0.216432196594566,0.2007788698993137,0.2188511084376439,0.0472,0.9528,1.0472,0.4946354166666666
HATS-13b,MCS,False,0.2352499677606157,0.1514256589902663,0.3267510344467526,0.0888201633880083,0.0838243087703494,0.0915010666861368,0.1402,0.8598,1.1402,0.49553125
Qatar-7b,MCS,False,0.076183065829374,0.0030199244308037,0.1608121129514817,0.0838250275884761,0.0731631413985702,0.0846290471221077,0.11,0.89,1.11,0.4961145833333333
TOI-1248b,MCS,False,0.5607515883654308,0.4132011296315827,0.7248750777054881,0.1675474161246891,0.1475504587338481,0.1641234893400572,0.07186602,0.92813398,1.07186602,0.4964166666666667
HAT-P-60b,MCS,False,0.657375179935519,0.5192587495517735,0.7444565180469528,0.1391561709448565,0.1381164303837454,0.0870813381114338,0.07622,0.92378,1.07622,0.4952083333333333
HATS-3b,MCS,False,0.4773201758575912,0.3663271761634954,0.5640899080881081,0.1130709888708475,0.1109929996940957,0.0867697322305169,0.1011,0.8989,1.1011,0.4980729166666666
TOI-3568b,MCS,False,0.1757665702406024,-0.0954076376838468,0.4486920836442144,0.2754164957228525,0.2711742079244493,0.2729255134036119,0.067,0.933,1.067,0.2691979166666666
HD77946b,MCS,False,0.4297348674175429,0.1986450122336028,0.6878716702570699,0.2529281202135461,0.2310898551839401,0.2581368028395269,0.0189,0.9811,1.0189,0.5470833333333333
TOI-150.01,MCS,False,0.3125992407875063,0.1766589919895277,0.4740953639575741,0.1528620917323819,0.1359402487979786,0.1614961231700677,0.0826,0.9174,1.0826,0.5479583333333333
WASP-72b,MCS,False,0.5437774391223362,0.3231176298362634,0.7929868575103388,0.238067332303075,0.2206598092860728,0.2492094183880026,0.0656,0.9344,1.0656,0.4933333333333333
HAT-P-43b,MCS,False,0.176716449986728,0.0775007477900181,0.2924855030481283,0.1093943803983279,0.0992157021967099,0.1157690530614003,0.1193,0.8807,1.1193,0.4976354166666666
TOI-169b,MCS,False,0.9017681955974962,0.7002760268824519,1.0303272891598612,0.1985206267388573,0.2014921687150442,0.1285590935623649,0.0866,0.9134,1.0866,0.4951354166666666
