Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,b_mean,b_std,k_mean,k_std,dominant_regime
TOI-1130c,False,-0.9477847022880522,0.175,8e-05,0.98066,0.01926,0.9473973514234493,0.05659749143790201,0.1749913218462713,0.017049422172821176,Grazing Eclipse
BD-143065b,True,1.0105984937471462,0.0843,0.01896,0.97734,0.0037,1.0105395253455123,0.03557704636678415,0.08431096291176543,0.002252528338304609,Grazing Eclipse
WASP-34b,False,0.9870150346948756,0.134806963,0.01153,0.95679,0.03168,0.9867687185313606,0.06524352933321223,0.13480920037485386,0.0009678174147843055,Grazing Eclipse
TOI-4515b,False,0.9071908996693056,0.13,0.0,0.92211,0.07789,0.9073416743012925,0.02629382397524531,0.13000047078208957,0.0009975450311907475,Grazing Eclipse
WASP-140b,False,0.931645255185666,0.170089961,0.01331,0.81498,0.17171,0.9318019282854616,0.10739158824425449,0.17010689232001786,0.004296776150020807,Grazing Eclipse
Qatar-6b,False,0.893840790039999,0.1516,3e-05,0.75986,0.24011,0.893724706100926,0.06376850161720458,0.15159125262609366,0.005051339892062853,Grazing Eclipse
TOI-4406b,False,0.9495638601515424,0.079,0.00371,0.72272,0.27357,0.9499495312331259,0.048021684964343905,0.07900776900590788,0.0010015800684774671,Grazing Eclipse
TOI-5143c,False,0.9629694313171604,0.175,0.11014,0.67514,0.21472,0.9627562180857278,0.17293106663356195,0.17498136776280007,0.01900767392567523,Grazing Eclipse
TIC46432937b,False,0.8129098298106882,0.2301,0.00167,0.61728,0.38105,0.8128874897964552,0.14142895060600968,0.2301143971499033,0.0036910530268428393,Grazing Eclipse
TOI-1273b,False,1.0102734090662755,0.096,0.23047,0.58735,0.18218,1.0099246142029332,0.11518186780540025,0.09602730330114748,0.021064477205226455,Grazing Eclipse
WASP-177b,False,0.9251504513937,0.183463325,0.11458,0.57953,0.30589,0.9261956396568746,0.21431753027039271,0.18345897119480448,0.007261723882371188,Grazing Eclipse
TOI-2154b,False,0.9370222977287812,0.10693,0.09152,0.54498,0.3635,0.9374849473583499,0.12748901463267745,0.10692765057020398,0.000925841255975002,Grazing Eclipse
WASP-67b,True,0.9095612508141804,0.134292145,0.10832,0.48843,0.40325,0.909767883348903,0.18176044146069473,0.13428844816327398,0.00335023305017757,Grazing Eclipse
NGTS-9b,False,0.922265471028444,0.08,0.03475,0.47331,0.49194,0.9220442880951245,0.08687062451446213,0.08000279031684258,0.0039909531845386285,True Eclipse
WASP-183b,False,0.8649998035720864,0.173434153,0.09322,0.47267,0.43411,0.864690215768129,0.23265111018381024,0.17345208486281172,0.014283183538502036,Grazing Eclipse
WASP-174b,False,0.9323278149405504,0.1098,0.13662,0.46819,0.39519,0.9334241595092702,0.16113686161937962,0.10978639670694874,0.003000671634072636,Grazing Eclipse
WASP-168b,False,0.9027521514724216,0.137628596,0.12006,0.46111,0.41883,0.9035347321994616,0.19876253584215184,0.13760463406272302,0.004258511554781322,Grazing Eclipse
TOI-216.02,False,0.9108916690927096,0.0833,0.0028,0.45986,0.53734,0.9108860610870334,0.06135822895156774,0.08327776168740411,0.013212531604846475,True Eclipse
TrES-3b,True,0.8221177522539034,0.1655,0.00835,0.45804,0.53361,0.8220578236426217,0.1441310830758364,0.16550516888973635,0.0019998825353986756,True Eclipse
K2-31b,False,1.020654908407515,0.135,0.31249,0.43177,0.25574,1.0200251834307796,0.23139528720789448,0.13513082393532808,0.04487784164159205,Grazing Eclipse
