Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,b_mean,b_std,k_mean,k_std,dominant_regime
K2-232b,False,0.1115256812388215,0.08811,0.0,0.0,1.0,0.11881337014739653,0.07392608923638433,0.08810993502829835,0.00024992227940945144,True Eclipse
Qatar-10b,False,0.3343571828613552,0.1265,0.0,0.0,1.0,0.33384693495882545,0.10734315506266966,0.1265035793735289,0.001002638151173649,True Eclipse
WASP-60b,False,0.3312034496279108,0.077522727,0.0029,0.01118,0.98592,0.3596395985836656,0.2299639462283855,0.0775112708048942,0.0038599120064766895,True Eclipse
WASP-20b,False,0.7045377392133966,0.107930349,0.00072,0.06827,0.93101,0.704431168043736,0.1270597580709239,0.10793165110051844,0.001066055607741206,True Eclipse
HATS-52b,False,0.4487681371556684,0.1352,0.0,0.00098,0.99902,0.44844057376532187,0.13308765853403898,0.1351888284313081,0.002795397371239507,True Eclipse
TOI-1820b,False,0.8537128917338692,0.0777,2e-05,0.10067,0.89931,0.8538146329150413,0.053766611978396266,0.07770546646415268,0.000900642566715887,True Eclipse
TOI-2202b,False,0.3229930513640659,0.1265,0.0,0.0,1.0,0.3232275429606648,0.06560692063835917,0.1264967901111506,0.0017539199755319667,True Eclipse
TOI-4087b,False,0.3092567832735476,0.107568134,0.0,0.0,1.0,0.3095478057560919,0.08161592260598295,0.1075654068036737,0.0004556076308796089,True Eclipse
WASP-2b,False,0.7314674572929513,0.12831,0.00125,0.13914,0.85961,0.7312807768554141,0.1308614368360516,0.1283119389189752,0.0009894438955265746,True Eclipse
K2-237b,False,0.1772732995515725,0.119,0.0,0.0,1.0,0.18037247451181718,0.0967622164212335,0.11900322360612937,0.0023591207005847076,True Eclipse
KELT-20b,True,0.4891428187038116,0.1144,0.0,1e-05,0.99999,0.48901973717588987,0.0949478186244988,0.11440019692037807,0.000613496155312635,True Eclipse
WASP-107b,False,0.0871188473828318,0.146358976,0.0,0.0,1.0,0.0927003996668695,0.05706437162321478,0.14635556501471997,0.0006839919506175625,True Eclipse
TOI-2498b,False,0.4332348346691205,0.04,0.00788,0.01038,0.98174,0.44106096036631426,0.2358658015936457,0.04001481050508589,0.01000072569066607,True Eclipse
WASP-197b,False,0.4155618600122411,0.0627,0.0,0.0,1.0,0.4157231776070097,0.08259136374862656,0.06269873625603861,0.0006970447889195303,True Eclipse
WASP-187b,False,0.7353571844193858,0.059551521,0.00899,0.05806,0.93295,0.7349255459494132,0.13701465017304665,0.059558324560041426,0.0016809961811469526,True Eclipse
Kepler-1517b,False,0.8114745116774666,0.050506,0.30563,0.07934,0.61503,0.8278543606942216,0.4390672867861635,0.0504981208296192,0.004467387987303595,True Eclipse
WASP-170b,False,0.6727896545588845,0.1175,0.00017,0.0494,0.95043,0.6726299678468927,0.1271270441318947,0.11750054611394999,0.004107181054767707,True Eclipse
WASP-61b,False,0.0900254134671462,0.089455287,0.0,0.0,1.0,0.0987812199014848,0.06399639729472735,0.08945623765388441,0.00044765363575603544,True Eclipse
WASP-37b,False,0.1764451632317047,0.11884817,0.0,0.0,1.0,0.1900717004378205,0.1199136486129717,0.11884690882362099,0.0011248930482048725,True Eclipse
WASP-46b,True,0.7180616398771543,0.14075,0.0003,0.125,0.8747,0.7177590076948805,0.12299966100198312,0.14074867007642483,0.0003506185957436465,True Eclipse
HD191939b,False,0.6125536512357914,0.03319,0.0,0.0,1.0,0.6126076562161166,0.042388495783013624,0.03318998591927264,0.00025611192679631894,True Eclipse
TOI-4914b,False,1.7064790134167689,0.118,1.0,0.0,0.0,1.7068384651604225,0.11268742585235625,0.11800807911413938,0.002002275209321663,False Eclipse
TOI-1898b,False,1.8448417884018595,0.0533987,0.96463,0.01558,0.01979,1.8455747631268258,0.43772449747582776,0.053396298620668685,0.0012005047956472861,False Eclipse
WASP-17b,True,0.3791617654139129,0.130152994,0.0,0.0,1.0,0.3791687731429856,0.07585662034588254,0.1301576828676803,0.000997560594335153,True Eclipse
TOI-5108b,False,0.8523960481920493,0.0472,0.09887,0.15568,0.74545,0.8528272333559355,0.1511339055399366,0.04720134653955674,0.0007001862773100422,True Eclipse
WASP-91b,False,0.4869392494265562,0.123076239,0.0,0.00029,0.99971,0.4861677618569775,0.11344812945269374,0.12307743800375973,0.0012214362430444795,True Eclipse
