Planet,b_occ_median,b_occ_std,k_nominal,k_err_lower,k_err_upper,boundary_lower_nominal,boundary_upper_nominal,prob_full_occultation_with_k_unc,prob_grazing_with_k_unc,prob_no_occultation_with_k_unc,Planet Name,has_observed_eclipse
K2-232b,0.1115256812388215,0.0867134400055675,0.08811,0.00017,0.00031,0.91189,1.08811,1.0,0.0,0.0,K2-232b,False
Qatar-10b,0.3343571828613552,0.1090614056115806,0.1265,0.001,0.001,0.8734999999999999,1.1265,0.99999,1e-05,0.0,Qatar-10b,False
WASP-60b,0.3312034496279108,0.2794474679009864,0.077522727,0.003869833,0.003869833,0.922477273,1.077522727,0.98281,0.01356,0.00363,WASP-60b,False
WASP-20b,0.7045377392133966,0.1533107931107587,0.107930349,0.001065502,0.001065502,0.892069651,1.107930349,0.89037,0.10537,0.00426,WASP-20b,False
HATS-52b,0.4487681371556684,0.1394392415596294,0.1352,0.0028,0.0028,0.8648,1.1352,0.99858,0.00142,0.0,HATS-52b,False
TOI-1820b,0.8537128917338692,0.0539918389058145,0.0777,0.0009,0.0009,0.9223,1.0777,0.89943,0.10055,2e-05,TOI-1820b,False
TOI-2202b,0.3229930513640659,0.0661725991766752,0.1265,0.0018,0.0017,0.8734999999999999,1.1265,1.0,0.0,0.0,TOI-2202b,False
TOI-4087b,0.3092567832735476,0.0871145120761956,0.107568134,0.000450877,0.000460173,0.892431866,1.107568134,1.0,0.0,0.0,TOI-4087b,False
WASP-2b,0.7314674572929513,0.1600747491094211,0.12831,0.001,0.00098,0.87169,1.12831,0.81007,0.18306,0.00687,WASP-2b,False
K2-237b,0.1772732995515725,0.104151689335261,0.119,0.0023,0.0024,0.881,1.119,1.0,0.0,0.0,K2-237b,False
KELT-20b,0.4891428187038116,0.1130625702817993,0.1144,0.00061,0.00062,0.8855999999999999,1.1144,0.9998,0.0002,0.0,KELT-20b,True
WASP-107b,0.0871188473828318,0.0661715713771825,0.146358976,0.000683252,0.000683252,0.853641024,1.146358976,1.0,0.0,0.0,WASP-107b,False
