Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
K2-232b,False,0.1115,0.0881,0.0,0.0,1.0,True Eclipse
Qatar-10b,False,0.3344,0.1265,0.0,0.0,1.0,True Eclipse
WASP-60b,False,0.3312,0.0775,0.0029,0.0112,0.9859,True Eclipse
WASP-20b,False,0.7045,0.1079,0.0007,0.0683,0.931,True Eclipse
HATS-52b,False,0.4488,0.1352,0.0,0.001,0.999,True Eclipse
TOI-1820b,False,0.8537,0.0777,0.0,0.1007,0.8993,True Eclipse
TOI-2202b,False,0.323,0.1265,0.0,0.0,1.0,True Eclipse
TOI-4087b,False,0.3093,0.1076,0.0,0.0,1.0,True Eclipse
WASP-2b,False,0.7315,0.1283,0.0012,0.1391,0.8596,True Eclipse
K2-237b,False,0.1773,0.119,0.0,0.0,1.0,True Eclipse
KELT-20b,True,0.4891,0.1144,0.0,0.0,1.0,True Eclipse
WASP-107b,False,0.0871,0.1464,0.0,0.0,1.0,True Eclipse
TOI-2498b,False,0.4332,0.04,0.0079,0.0104,0.9817,True Eclipse
WASP-197b,False,0.4156,0.0627,0.0,0.0,1.0,True Eclipse
WASP-187b,False,0.7354,0.0596,0.009,0.0581,0.933,True Eclipse
Kepler-1517b,False,0.8115,0.0505,0.3056,0.0793,0.615,True Eclipse
WASP-170b,False,0.6728,0.1175,0.0002,0.0494,0.9504,True Eclipse
WASP-61b,False,0.09,0.0895,0.0,0.0,1.0,True Eclipse
WASP-37b,False,0.1764,0.1188,0.0,0.0,1.0,True Eclipse
WASP-46b,True,0.7181,0.1407,0.0003,0.125,0.8747,True Eclipse
HD191939b,False,0.6126,0.0332,0.0,0.0,1.0,True Eclipse
TOI-4914b,False,1.7065,0.118,1.0,0.0,0.0,False Eclipse
TOI-1898b,False,1.8448,0.0534,0.9646,0.0156,0.0198,False Eclipse
WASP-17b,True,0.3792,0.1302,0.0,0.0,1.0,True Eclipse
TOI-5108b,False,0.8524,0.0472,0.0989,0.1557,0.7454,True Eclipse
WASP-91b,False,0.4869,0.1231,0.0,0.0003,0.9997,True Eclipse
WASP-121b,True,0.1479,0.1245,0.0,0.0,1.0,True Eclipse
WASP-172b,False,0.4267,0.0845,0.0001,0.0024,0.9975,True Eclipse
HATS-51b,False,0.3262,0.101,0.0,0.0022,0.9977,True Eclipse
WASP-173Ab,False,0.262,0.1203,0.0,0.0005,0.9995,True Eclipse
Kepler-138b,False,0.7109,0.011,0.0,0.0,0.0,False Eclipse
HD118203b,False,0.1506,0.0554,0.0,0.0,1.0,True Eclipse
WASP-136b,False,0.5707,0.064,0.0,0.0016,0.9984,True Eclipse
WASP-186b,False,0.8475,0.078,0.1891,0.1979,0.613,True Eclipse
TRAPPIST-1b,True,0.0894,0.0859,0.0,0.0,1.0,True Eclipse
TRAPPIST-1c,True,0.1028,0.0844,0.0,0.0,1.0,True Eclipse
TRAPPIST-1d,False,0.0666,0.0606,0.0,0.0,1.0,True Eclipse
TRAPPIST-1e,False,0.1817,0.0708,0.0,0.0,1.0,True Eclipse
TRAPPIST-1f,False,0.3079,0.0804,0.0,0.0,1.0,True Eclipse
TRAPPIST-1g,False,0.3731,0.0869,0.0,0.0,1.0,True Eclipse
TRAPPIST-1h,False,0.3697,0.0581,0.0,0.0,1.0,True Eclipse
WASP-148b,False,0.2749,0.085,0.0,0.0,1.0,True Eclipse
GJ341b,False,0.2846,0.016,0.0062,0.0021,0.9916,True Eclipse
TOI-5882b,False,0.1994,0.0465,0.0,0.0,1.0,True Eclipse
LHS1678c,False,0.4441,0.0262,0.0,0.0,1.0,True Eclipse
Kepler-444e,False,0.2872,0.0066,0.0,0.0,1.0,True Eclipse
WASP-62b,True,0.2321,0.1067,0.0,0.0,1.0,True Eclipse
WASP-89b,False,0.1133,0.1214,0.0,0.0,1.0,True Eclipse
XO-7b,False,0.7299,0.0953,0.0,0.0,1.0,True Eclipse
K2-415b,False,0.3302,0.0472,0.0003,0.0011,0.9986,True Eclipse
HATS-13b,False,0.2352,0.1402,0.0,0.0,1.0,True Eclipse
Qatar-7b,False,0.0762,0.11,0.0,0.0,1.0,True Eclipse
TOI-1248b,False,0.5608,0.0719,0.0005,0.0085,0.991,True Eclipse
HAT-P-60b,False,0.6574,0.0762,0.0001,0.0092,0.9908,True Eclipse
HATS-3b,False,0.4773,0.1011,0.0,0.0,1.0,True Eclipse
TOI-3568b,False,0.1758,0.067,0.0006,0.0024,0.997,True Eclipse
HD77946b,False,0.4297,0.0189,0.0079,0.0038,0.9884,True Eclipse
TOI-150.01,False,0.3126,0.0826,0.0,0.0,1.0,True Eclipse
