Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
K2-232b,MCS,0.0,0.1079999428004774,0.0319641870555301,0.1947191035964469,0.0849615570760194,0.0760357557449472,0.0867191607959695,0.08811,1.08811,1,Premium (non-grazing),0.4957395833333333
Qatar-10b,MCS,0.0,0.3294547812205752,0.2266471241021186,0.4390480852120559,0.1109679276252867,0.1028076571184566,0.1095933039914806,0.1265,1.1265,1,Premium (non-grazing),0.4962291666666666
WASP-60b,MCS,0.0,0.3254804463899973,0.0746580437495526,0.6307128529768706,0.2758682858311488,0.2508224026404447,0.3052324065868733,0.077522727,1.077522727,1,Premium (non-grazing),0.4953229166666667
WASP-20b,MCS,0.0,0.7032123885495464,0.5556668501753608,0.8071466149177134,0.1493579962346918,0.1475455383741856,0.103934226368167,0.107930349,1.107930349,1,Premium (non-grazing),0.49378125
HATS-52b,MCS,0.0,0.4513091052150811,0.3185434054753217,0.5912081614320428,0.1411970992659049,0.1327656997397595,0.1398990562169616,0.1352,1.1352,1,Premium (non-grazing),0.496375
TOI-1820b,MCS,0.0,0.8182594117519004,0.6332028154738021,0.9294054528282386,0.164888063586708,0.1850565962780983,0.1111460410763381,0.0777,1.0777,1,Premium (non-grazing),0.4778229166666666
TOI-2202b,MCS,0.0,0.3065198030288093,0.217362906785363,0.3970579474463995,0.0943476541187305,0.0891568962434463,0.0905381444175902,0.1265,1.1265,1,Premium (non-grazing),0.4970520833333333
TOI-4087b,MCS,0.0,0.315210933704205,0.2326834454587724,0.3949796154829822,0.0867817003328309,0.0825274882454325,0.0797686817787772,0.107568134,1.107568134,1,Premium (non-grazing),0.4967499999999999
WASP-2b,MCS,0.0,0.7319191701275007,0.5621592513895954,0.83551120284172,0.160117888525443,0.1697599187379053,0.1035920327142192,0.12831,1.12831,1,Premium (non-grazing),0.49459375
K2-237b,MCS,0.0,0.1629870963631496,0.0648420995480031,0.2773730221836801,0.1076142100937189,0.0981449968151465,0.1143859258205304,0.119,1.119,1,Premium (non-grazing),0.4967395833333333
KELT-20b,MCS,1.0,0.4875231484586195,0.3873597158438429,0.5622464921232219,0.108293336498916,0.1001634326147766,0.0747233436646023,0.1144,1.1144,1,Premium (non-grazing),0.4937708333333334
WASP-107b,MCS,0.0,0.0836843005050575,0.0261979572444345,0.1523801652335063,0.0647136479299183,0.0574863432606229,0.0686958647284487,0.146358976,1.146358976,1,Premium (non-grazing),0.4977916666666666
TOI-2498b,MCS,0.0,0.3675401773807451,0.1366540509764388,0.6210063373075251,0.2402130143799993,0.2308861264043063,0.2534661599267799,0.04,1.04,1,Premium (non-grazing),0.4917083333333333
WASP-197b,MCS,0.0,0.4148429881986807,0.3189185862874675,0.4872045850039146,0.0973843367332824,0.0959244019112132,0.0723615968052339,0.0627,1.0627,1,Premium (non-grazing),0.4925625
WASP-187b,MCS,0.0,0.7364585981059069,0.5780795816148913,0.8542758921703834,0.1564981623646249,0.1583790164910156,0.1178172940644765,0.059551521,1.059551521,1,Premium (non-grazing),0.4887083333333333
Kepler-1517b,MCS,0.0,0.6462212516668769,0.3225123595830805,0.913460005671787,0.2650071207636541,0.3237088920837964,0.26723875400491,0.050506,1.050506,1,Premium (non-grazing),0.4608333333333333
WASP-170b,MCS,0.0,0.6660958177695175,0.5189009286760865,0.7721538600190218,0.1499657642662955,0.147194889093431,0.1060580422495042,0.1175,1.1175,1,Premium (non-grazing),0.496875
WASP-61b,MCS,0.0,0.0911944331843389,0.0200055320162351,0.1766582336445498,0.0803369218370761,0.0711889011681038,0.0854638004602109,0.089455287,1.089455287,1,Premium (non-grazing),0.4965520833333333
WASP-37b,MCS,0.0,0.1785746348815386,0.0532496249938235,0.3210795949356303,0.1395194772451528,0.1253250098877151,0.1425049600540916,0.11884817,1.11884817,1,Premium (non-grazing),0.4949270833333333
WASP-46b,MCS,1.0,0.7186637590120347,0.5658577865253889,0.8162608402224077,0.1500256743016574,0.1528059724866458,0.097597081210373,0.14075,1.14075,1,Premium (non-grazing),0.4954270833333333
HD191939b,MCS,0.0,0.591267138777921,0.4608785518990959,0.6905654009663643,0.1330608972273208,0.1303885868788251,0.0992982621884432,0.03319,1.03319,1,Premium (non-grazing),0.4959791666666666
TOI-4914b,MCS,0.0,1.0716718134931136,0.8272962652732958,2.1104826198384665,0.5858039811604617,0.2443755482198177,1.038810806345353,0.118,1.118,3,Possible (uncertain),0.21378125
TOI-1898b,MCS,0.0,0.8582322765457007,0.616008665455621,1.0030298382217189,0.1913149090316392,0.2422236110900796,0.1447975616760179,0.0533987,1.0533987,2,Good (includes grazing),0.43421875
WASP-17b,MCS,1.0,0.3700734106009281,0.2573383719459469,0.4816724840405225,0.1163029053889176,0.1127350386549811,0.1115990734395944,0.130152994,1.130152994,1,Premium (non-grazing),0.4960729166666667
TOI-5108b,MCS,0.0,0.8391516987096257,0.665546402178335,0.9346260944514032,0.1543431083836524,0.1736052965312906,0.0954743957417775,0.0472,1.0472,1,Premium (non-grazing),0.4709791666666666
