Star Name,Planet Name,Star Radius [Rs],Planet Radius [Rj],Planet Semi-major Axis [AU],Eccentricity,Periastron,Occultation_Probability
55 Cnc,55 Cnc e,0.94,0.167,0.015478815313765,0.05,86.0,0.3026704688033148
AU Mic,AU Mic b,0.7,0.363,0.0645549652577241,0.186,88.528,0.06524781504012354
AU Mic,AU Mic c,0.75,0.289,0.1101351017703512,0.041,153.0,0.033592136311737776
CoRoT-11,CoRoT-11 b,1.37,1.43,0.0440613502436187,0.0,,0.1601069701031122
CoRoT-1,CoRoT-1 b,1.11,1.49,0.0253288603116789,0.0,,0.23191258493979228
CoRoT-2,CoRoT-2 b,0.91,1.466,0.0279819328378182,0.0143,102.0,0.1787773275542763
CoRoT-19,CoRoT-19 b,1.65,1.29,0.0516830941567414,0.047,,0.16075096961374596
CoRoT-21,CoRoT-21 b,1.95,1.3,0.0415913868660497,0.0,,0.23297309232298033
CoRoT-26,CoRoT-26 b,1.79,1.26,0.052507948513279,0.0,,0.17000251815345196
CoRoT-3,CoRoT-3 b,1.56,1.01,0.0571328392114467,0.0,,0.1354282840038068
CoRoT-36,CoRoT-36 b,1.52,1.41,0.0678828714024478,0.0,,0.11405736565486599
CoRoT-35,CoRoT-35 b,1.65,1.68,0.0429147201593388,0.0,,0.19751110372833236
CoRoT-5,CoRoT-5 b,1.19,1.388,0.0496623066861077,0.09,-128.34,0.11692834814506857
DS Tuc A,DS Tuc A b,0.96,0.509,0.0795033148482794,0.0,,0.0592138438668016
EPIC 211945201,EPIC 211945201 b,1.39,0.514,0.1494718680267243,0.0,90.0,0.0448899672936849
EPIC 246851721,EPIC 246851721 b,1.59,1.051,0.0723521471109606,0.0,,0.10913995482393381
GJ 1132,GJ 1132 b,0.21,0.101,0.0153090913478822,0.0,,0.06694489217355774
G 9-40,G 9-40 b,0.31,0.181,0.0415878900338846,0.0,0.0,0.03674492152917269
GJ 1214,GJ 1214 b,0.21,0.245,0.0150035177401219,0.0,0.0,0.07289505680397489
GJ 3470,GJ 3470 b,0.55,0.408,0.035611896952965,0.017,1.7,0.0773596083497361
GJ 3090,GJ 3090 b,0.52,0.19,0.0316815351485826,0.0,137.0,0.07919574980873882
