Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,b_occ_quantiles,k_rp_rs,one_minus_k,one_plus_k,acceptance_fraction
K2-232b,MCS,False,0.12296357316520273,0.051114735473124485,0.19513685000721723,0.07048885309751463,0.07184883769207825,0.0721732768420145,"0.000002,0.001619,0.004419,0.009413,0.013582,0.017503,0.021417,0.024810,0.027824,0.031334,0.034560,0.037897,0.040939,0.044168,0.046604,0.049079,0.051602,0.053898,0.056062,0.058539,0.060749,0.063212,0.065763,0.068062,0.070406,0.072688,0.074869,0.077282,0.079660,0.081782,0.083808,0.086200,0.088451,0.090518,0.092527,0.094765,0.096622,0.098524,0.100695,0.102758,0.104780,0.106708,0.108650,0.110363,0.112576,0.114296,0.116086,0.117892,0.120001,0.121974,0.123724,0.125544,0.127376,0.129424,0.131386,0.133255,0.135275,0.137098,0.139088,0.140935,0.142695,0.144765,0.146645,0.148521,0.150327,0.152169,0.154106,0.155974,0.158105,0.160179,0.162319,0.164680,0.166924,0.169016,0.171428,0.173881,0.176238,0.178536,0.181054,0.183638,0.186052,0.188920,0.191716,0.194650,0.197723,0.201312,0.205272,0.208871,0.213361,0.217636,0.222665,0.227890,0.233725,0.240046,0.247399,0.256789,0.267665,0.284477,0.307943,0.484172",0.08811,0.91189,1.08811,0.4630208333333333
Qatar-10b,MCS,False,0.33522130725166505,0.22714846100479535,0.4463916650867197,0.11192385004255793,0.10807284624686969,0.11117035783505463,"0.012816,0.098566,0.124297,0.140166,0.152169,0.161821,0.170222,0.178423,0.185289,0.191590,0.198003,0.203252,0.208263,0.213709,0.218807,0.223245,0.227795,0.232109,0.236051,0.240039,0.243549,0.247117,0.250970,0.254627,0.258236,0.261777,0.265040,0.268432,0.271635,0.275173,0.278528,0.281399,0.284565,0.287587,0.290542,0.293646,0.296669,0.299588,0.302760,0.305384,0.308459,0.311453,0.314070,0.316822,0.319794,0.322821,0.325585,0.328428,0.331345,0.334123,0.336644,0.339476,0.341886,0.344593,0.347346,0.350319,0.352604,0.355259,0.357920,0.360428,0.363059,0.366226,0.369106,0.371968,0.374903,0.377838,0.381329,0.384458,0.387967,0.391090,0.394784,0.398427,0.401977,0.405761,0.409707,0.413574,0.417030,0.420664,0.424499,0.428522,0.432555,0.436922,0.441543,0.445722,0.450451,0.455363,0.461081,0.466692,0.473104,0.479751,0.486598,0.494016,0.502545,0.513578,0.524602,0.539469,0.556553,0.584599,0.626916,0.921070",0.1265,0.8734999999999999,1.1265,0.5009999999999999
WASP-60b,MCS,False,0.363732610818482,0.14384638109552658,0.6407426766986164,0.251451699912078,0.21988622972295543,0.2770100658801344,"0.000118,0.012809,0.024377,0.035674,0.046934,0.056435,0.066163,0.074392,0.082003,0.090569,0.098323,0.106631,0.114694,0.123058,0.131087,0.137835,0.145179,0.152483,0.159327,0.166867,0.173188,0.179850,0.186590,0.193522,0.201246,0.207706,0.214219,0.221323,0.227621,0.233870,0.240459,0.246921,0.252825,0.259493,0.266001,0.271957,0.278784,0.284057,0.289942,0.296594,0.302776,0.309211,0.316603,0.322226,0.327749,0.333922,0.340547,0.347099,0.353629,0.360129,0.367429,0.374343,0.381128,0.387073,0.393267,0.400811,0.407672,0.413959,0.420907,0.428306,0.434600,0.442006,0.449233,0.456896,0.464229,0.473022,0.481208,0.488619,0.495569,0.504125,0.512448,0.519758,0.527905,0.536375,0.545100,0.554304,0.562980,0.572875,0.583598,0.594080,0.604122,0.615116,0.626950,0.638607,0.651540,0.665263,0.678772,0.693294,0.709679,0.728831,0.749436,0.772314,0.794796,0.822618,0.854636,0.889568,0.944037,1.011598,1.127268,2.423598",0.077522727,0.922477273,1.077522727,0.48117708333333337
WASP-20b,MCS,False,0.6996612698787875,0.5534235261764066,0.8070395184839407,0.15205931235507103,0.14623774370238096,0.10737824860515321,"0.048650,0.247038,0.310938,0.354044,0.383664,0.409494,0.433013,0.451354,0.466586,0.479726,0.493371,0.505802,0.516848,0.526180,0.535381,0.545710,0.554590,0.562790,0.570021,0.576408,0.583436,0.590091,0.595969,0.602140,0.608391,0.614078,0.620008,0.624839,0.629502,0.634104,0.638386,0.642872,0.647108,0.650732,0.654340,0.658119,0.661492,0.664952,0.668159,0.671106,0.674065,0.676938,0.679658,0.682893,0.685545,0.688378,0.690934,0.693327,0.695674,0.698232,0.700908,0.703514,0.705664,0.708305,0.710736,0.712947,0.715579,0.718435,0.720895,0.723354,0.726040,0.728846,0.731365,0.733833,0.736705,0.739342,0.741844,0.744692,0.747607,0.750733,0.753997,0.756959,0.760076,0.763630,0.767234,0.770458,0.774558,0.778517,0.782146,0.786324,0.790647,0.795552,0.801013,0.806284,0.812636,0.819272,0.826379,0.834442,0.843687,0.853140,0.865054,0.877458,0.891747,0.907397,0.925487,0.947463,0.975723,1.012480,1.071211,1.347607",0.107930349,0.892069651,1.107930349,0.4979479166666667
HATS-52b,MCS,False,0.4509437249658907,0.3231984300979045,0.5916269981179216,0.13870816871151706,0.1277452948679862,0.14068327315203094,"0.018599,0.144882,0.181184,0.205663,0.222042,0.235033,0.248152,0.258825,0.267672,0.276421,0.284789,0.291036,0.298237,0.305239,0.312007,0.318432,0.324182,0.329442,0.333896,0.338637,0.343249,0.347193,0.352012,0.355740,0.359321,0.363211,0.367697,0.371466,0.375585,0.379024,0.382977,0.386572,0.390034,0.393486,0.397056,0.400386,0.404004,0.407365,0.410975,0.414210,0.417491,0.420782,0.424408,0.428153,0.431849,0.435503,0.438963,0.442062,0.445405,0.448959,0.452879,0.456187,0.459547,0.463041,0.466595,0.470063,0.473479,0.476799,0.480214,0.483437,0.487167,0.490849,0.494806,0.498442,0.502077,0.505897,0.510155,0.514454,0.517785,0.522067,0.525810,0.529976,0.534246,0.538347,0.542854,0.547632,0.552142,0.556897,0.561812,0.566648,0.572489,0.577618,0.584224,0.590510,0.596535,0.602766,0.609049,0.615523,0.622649,0.630092,0.638857,0.648524,0.659905,0.673618,0.688904,0.707240,0.729669,0.761375,0.813223,1.140391",0.1352,0.8648,1.1352,0.49596874999999996
TOI-1820b,MCS,False,0.8504856361195531,0.795867213721903,0.906493584846275,0.05535353932801296,0.054618422397650024,0.05600794872672188,"0.645919,0.727971,0.740577,0.748412,0.755486,0.761714,0.766054,0.771021,0.774742,0.778459,0.781828,0.784353,0.786865,0.789549,0.791749,0.794047,0.796289,0.798367,0.800519,0.802725,0.804248,0.805723,0.807496,0.809448,0.811389,0.813033,0.814653,0.816320,0.817929,0.819682,0.821346,0.823101,0.824907,0.826453,0.827930,0.829569,0.831127,0.832610,0.834157,0.835687,0.836943,0.838507,0.839773,0.841057,0.842399,0.844007,0.845436,0.846832,0.848238,0.849714,0.851248,0.852918,0.854312,0.855862,0.857166,0.858830,0.860209,0.861776,0.863229,0.864654,0.866048,0.867475,0.869015,0.870524,0.871873,0.873425,0.874903,0.876635,0.878256,0.879941,0.881512,0.883307,0.885160,0.887185,0.888602,0.890602,0.892432,0.894247,0.896163,0.897805,0.899891,0.901733,0.903638,0.906041,0.908684,0.911261,0.913842,0.916436,0.919567,0.922836,0.925882,0.929383,0.933654,0.938558,0.943526,0.950213,0.957011,0.965992,0.980890,1.075126",0.0777,0.9223,1.0777,0.4246666666666667
TOI-2202b,MCS,False,0.32257015079352713,0.26784311084853013,0.39594894576455614,0.06584798576327242,0.054727039944997,0.073378794971029,"0.079833,0.193998,0.209041,0.218889,0.225978,0.231607,0.236710,0.241176,0.245410,0.248917,0.252467,0.255468,0.258708,0.261516,0.263851,0.265955,0.268206,0.270585,0.272751,0.274646,0.276818,0.278691,0.280761,0.282475,0.284081,0.285784,0.287597,0.289198,0.290746,0.292257,0.293830,0.295402,0.297028,0.298693,0.300245,0.301661,0.303167,0.304641,0.306135,0.307583,0.308834,0.310309,0.311799,0.313078,0.314377,0.315842,0.317484,0.318930,0.320397,0.321845,0.323420,0.324892,0.326490,0.328165,0.330020,0.331902,0.333921,0.335763,0.337758,0.339718,0.341660,0.343724,0.345784,0.347944,0.349883,0.351804,0.353853,0.355837,0.357831,0.359913,0.362120,0.364544,0.366780,0.368864,0.371287,0.373610,0.376076,0.378637,0.381291,0.383813,0.386648,0.389485,0.392409,0.395503,0.398918,0.402128,0.405661,0.409875,0.414359,0.418962,0.423639,0.428979,0.435046,0.440499,0.447166,0.455150,0.466041,0.480068,0.502372,0.666305",0.1265,0.8734999999999999,1.1265,0.5642291666666667
TOI-4087b,MCS,False,0.3155441238444571,0.2341395341085995,0.3990765338549128,0.08815149616423822,0.08140458973585762,0.0835324100104557,"0.004445,0.100515,0.125503,0.143573,0.158019,0.168717,0.178069,0.187644,0.195272,0.201873,0.208060,0.213524,0.218175,0.222875,0.226926,0.230934,0.234674,0.238300,0.241882,0.245282,0.248413,0.251516,0.254273,0.257069,0.260041,0.262928,0.265829,0.268427,0.270944,0.273604,0.276163,0.278405,0.280688,0.283049,0.285235,0.287405,0.289439,0.291254,0.293453,0.295485,0.297391,0.299430,0.301328,0.303250,0.305126,0.306915,0.308650,0.310382,0.312613,0.314660,0.316498,0.318566,0.320208,0.322235,0.324123,0.326113,0.328250,0.330223,0.332181,0.334388,0.336491,0.338691,0.340997,0.343486,0.345795,0.347739,0.350072,0.352283,0.354809,0.357184,0.359737,0.362402,0.364996,0.367712,0.370229,0.373007,0.375781,0.378600,0.381674,0.384617,0.388091,0.391569,0.395070,0.398587,0.401816,0.405574,0.409580,0.414116,0.418281,0.423117,0.428819,0.434979,0.440966,0.449019,0.459344,0.470927,0.485358,0.508215,0.542267,0.742843",0.107568134,0.892431866,1.107568134,0.4952395833333333
WASP-2b,MCS,False,0.7324711797349168,0.5712033953344839,0.8404806222720002,0.16362203107981055,0.16126778440043288,0.10800944253708333,"0.037466,0.248744,0.305800,0.350649,0.384398,0.407576,0.431497,0.452416,0.471730,0.487074,0.501809,0.516239,0.528784,0.541097,0.552553,0.562507,0.572423,0.581632,0.590512,0.599869,0.608205,0.616556,0.623926,0.630681,0.637056,0.643273,0.649671,0.655068,0.660188,0.665191,0.669741,0.674262,0.678656,0.682436,0.686966,0.691352,0.695378,0.698859,0.702072,0.705406,0.708593,0.711107,0.713873,0.716627,0.719176,0.721917,0.724335,0.726668,0.728943,0.731324,0.733575,0.735625,0.737847,0.740159,0.742190,0.744494,0.746564,0.748671,0.751022,0.752907,0.755295,0.757575,0.760022,0.762309,0.764758,0.767315,0.769956,0.772531,0.775558,0.778414,0.781345,0.784580,0.787766,0.791194,0.794681,0.798412,0.802212,0.806757,0.811664,0.816389,0.821668,0.826667,0.832752,0.839356,0.846242,0.852878,0.860926,0.870994,0.880878,0.892829,0.905650,0.919881,0.936259,0.955172,0.975013,0.998541,1.028039,1.068297,1.129594,1.399141",0.12831,0.87169,1.12831,0.4979895833333333
K2-237b,MCS,False,0.1865743816451342,0.09311268305733865,0.2922573316103972,0.09737131912371283,0.09346169858779556,0.10568294996526298,"0.000002,0.012056,0.021052,0.028883,0.036230,0.043019,0.049410,0.055594,0.060561,0.064932,0.069740,0.074180,0.078344,0.082308,0.086165,0.090345,0.093379,0.097181,0.100648,0.103883,0.107013,0.110225,0.113605,0.116424,0.119393,0.122494,0.125697,0.128723,0.131282,0.134169,0.136820,0.139456,0.142064,0.144501,0.147163,0.149836,0.152530,0.155057,0.157815,0.160251,0.162490,0.165106,0.167294,0.169726,0.172124,0.174632,0.177334,0.180270,0.182836,0.185324,0.187809,0.190361,0.192908,0.195793,0.198216,0.201175,0.204271,0.207241,0.210073,0.212934,0.215560,0.218431,0.220857,0.223386,0.226181,0.229124,0.232535,0.235235,0.238318,0.241029,0.244202,0.247463,0.250334,0.253796,0.257040,0.260468,0.264383,0.268363,0.272402,0.275994,0.279517,0.283648,0.287225,0.291645,0.296000,0.301012,0.306281,0.311576,0.316820,0.322386,0.328563,0.335766,0.343881,0.352033,0.362759,0.373645,0.388888,0.409353,0.442583,0.625497",0.119,0.881,1.119,0.5063437500000001
