Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
K2-232b,MCS,False,0.10799994280047742,0.03196418705553014,0.19471910359644692,0.08496155707601945,0.07603575574494728,0.0867191607959695,0.08811,1.08811,1,Premium (non-grazing),0.49573958333333334
Qatar-10b,MCS,False,0.32945478122057525,0.22664712410211865,0.4390480852120559,0.11096792762528675,0.1028076571184566,0.10959330399148065,0.1265,1.1265,1,Premium (non-grazing),0.49622916666666667
WASP-60b,MCS,False,0.32548044638999735,0.07465804374955265,0.6307128529768706,0.2758682858311488,0.2508224026404447,0.3052324065868733,0.077522727,1.077522727,1,Premium (non-grazing),0.4953229166666667
WASP-20b,MCS,False,0.7032123885495464,0.5556668501753608,0.8071466149177134,0.14935799623469184,0.1475455383741856,0.10393422636816707,0.107930349,1.107930349,1,Premium (non-grazing),0.49378125
HATS-52b,MCS,False,0.45130910521508116,0.3185434054753217,0.5912081614320428,0.14119709926590499,0.1327656997397595,0.13989905621696164,0.1352,1.1352,1,Premium (non-grazing),0.496375
TOI-1820b,MCS,False,0.8182594117519004,0.6332028154738021,0.9294054528282386,0.16488806358670804,0.18505659627809834,0.11114604107633819,0.0777,1.0777,1,Premium (non-grazing),0.47782291666666665
TOI-2202b,MCS,False,0.3065198030288093,0.21736290678536302,0.39705794744639955,0.09434765411873051,0.0891568962434463,0.09053814441759023,0.1265,1.1265,1,Premium (non-grazing),0.49705208333333334
TOI-4087b,MCS,False,0.315210933704205,0.23268344545877243,0.3949796154829822,0.08678170033283099,0.08252748824543257,0.07976868177877722,0.107568134,1.107568134,1,Premium (non-grazing),0.49674999999999997
WASP-2b,MCS,False,0.7319191701275007,0.5621592513895954,0.83551120284172,0.16011788852544304,0.1697599187379053,0.10359203271421924,0.12831,1.12831,1,Premium (non-grazing),0.49459375
K2-237b,MCS,False,0.16298709636314967,0.06484209954800313,0.27737302218368015,0.10761421009371894,0.09814499681514655,0.11438592582053048,0.119,1.119,1,Premium (non-grazing),0.49673958333333335
KELT-20b,MCS,True,0.48752314845861955,0.38735971584384293,0.5622464921232219,0.108293336498916,0.10016343261477662,0.07472334366460232,0.1144,1.1144,1,Premium (non-grazing),0.4937708333333334
WASP-107b,MCS,False,0.08368430050505753,0.02619795724443458,0.1523801652335063,0.06471364792991835,0.05748634326062295,0.06869586472844878,0.146358976,1.146358976,1,Premium (non-grazing),0.49779166666666663
TOI-2498b,MCS,False,0.3675401773807451,0.1366540509764388,0.6210063373075251,0.24021301437999937,0.23088612640430634,0.25346615992677995,0.04,1.04,1,Premium (non-grazing),0.4917083333333333
WASP-197b,MCS,False,0.4148429881986807,0.3189185862874675,0.48720458500391467,0.09738433673328241,0.09592440191121321,0.07236159680523396,0.0627,1.0627,1,Premium (non-grazing),0.4925625
WASP-187b,MCS,False,0.7364585981059069,0.5780795816148913,0.8542758921703834,0.15649816236462497,0.1583790164910156,0.1178172940644765,0.059551521,1.059551521,1,Premium (non-grazing),0.4887083333333333
Kepler-1517b,MCS,False,0.6462212516668769,0.32251235958308055,0.913460005671787,0.2650071207636541,0.3237088920837964,0.26723875400491004,0.050506,1.050506,1,Premium (non-grazing),0.4608333333333333
WASP-170b,MCS,False,0.6660958177695175,0.5189009286760865,0.7721538600190218,0.1499657642662955,0.14719488909343104,0.10605804224950421,0.1175,1.1175,1,Premium (non-grazing),0.496875
WASP-61b,MCS,False,0.09119443318433898,0.020005532016235183,0.17665823364454988,0.08033692183707611,0.0711889011681038,0.0854638004602109,0.089455287,1.089455287,1,Premium (non-grazing),0.49655208333333334
WASP-37b,MCS,False,0.17857463488153869,0.05324962499382358,0.3210795949356303,0.1395194772451528,0.1253250098877151,0.14250496005409163,0.11884817,1.11884817,1,Premium (non-grazing),0.49492708333333335
WASP-46b,MCS,True,0.7186637590120347,0.5658577865253889,0.8162608402224077,0.15002567430165742,0.15280597248664585,0.09759708121037303,0.14075,1.14075,1,Premium (non-grazing),0.49542708333333335
HD191939b,MCS,False,0.591267138777921,0.4608785518990959,0.6905654009663643,0.13306089722732087,0.13038858687882515,0.09929826218844329,0.03319,1.03319,1,Premium (non-grazing),0.49597916666666664
TOI-4914b,MCS,False,1.0716718134931136,0.8272962652732958,2.1104826198384665,0.5858039811604617,0.24437554821981777,1.038810806345353,0.118,1.1179999999999999,3,Possible (uncertain),0.21378125
TOI-1898b,MCS,False,0.8582322765457007,0.616008665455621,1.0030298382217187,0.19131490903163925,0.24222361109007962,0.14479756167601798,0.0533987,1.0533987,2,Good (includes grazing),0.43421875
WASP-17b,MCS,True,0.3700734106009281,0.2573383719459469,0.48167248404052254,0.11630290538891767,0.11273503865498119,0.11159907343959447,0.130152994,1.130152994,1,Premium (non-grazing),0.4960729166666667
TOI-5108b,MCS,False,0.8391516987096257,0.665546402178335,0.9346260944514032,0.15434310838365245,0.17360529653129064,0.09547439574177752,0.0472,1.0472,1,Premium (non-grazing),0.47097916666666667
WASP-91b,MCS,False,0.48337158327732094,0.36379931846228664,0.5951664484746941,0.12720085725319097,0.1195722648150343,0.1117948651973732,0.123076239,1.123076239,1,Premium (non-grazing),0.4974791666666667
WASP-121b,MCS,True,0.14758191664438133,0.10006488756782517,0.19931709669097517,0.05043362023586514,0.047517029076556166,0.05173518004659383,0.12454,1.12454,1,Premium (non-grazing),0.49596875
