Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,b_occ_quantiles,t_eclipse_median,t_eclipse_16,t_eclipse_84,t_eclipse_std,t_eclipse_err_lower,t_eclipse_err_upper,t_eclipse_quantiles,k_rp_rs,one_minus_k,one_plus_k,acceptance_fraction
K2-232b,MCS,False,0.1301419222528082,0.0571032484317041,0.204519675028306,0.0718781987101658,0.073038673821104,0.0743777527754977,"0.000023,0.004880,0.009359,0.014497,0.018258,0.022310,0.026606,0.029758,0.033127,0.036621,0.039699,0.042743,0.046065,0.049154,0.052003,0.054811,0.057557,0.060141,0.062583,0.065077,0.067666,0.070293,0.072806,0.074923,0.077191,0.079230,0.081185,0.083422,0.085553,0.087985,0.089937,0.091860,0.093689,0.095679,0.097825,0.099743,0.101940,0.103908,0.105863,0.107932,0.110084,0.112199,0.114166,0.116258,0.118522,0.120608,0.122425,0.124410,0.126473,0.128924,0.131185,0.133100,0.135079,0.137297,0.139514,0.141511,0.143791,0.146136,0.148044,0.150034,0.152334,0.154164,0.155587,0.157087,0.158692,0.160233,0.162172,0.164273,0.166033,0.168373,0.170068,0.172307,0.174014,0.176349,0.178332,0.180562,0.183244,0.186072,0.188738,0.191539,0.194774,0.197686,0.200584,0.204059,0.207417,0.210764,0.214294,0.218051,0.222162,0.226612,0.232079,0.237559,0.243486,0.250282,0.257651,0.267672,0.279609,0.295499,0.316103,0.471214",2457862.78959701,2457862.4888121807,2457864.4012969155,1.1416709700963563,0.3007848290726542,1.6116999057121577,"2457861.702020,2457862.138410,2457862.209997,2457862.256504,2457862.286853,2457862.317886,2457862.341130,2457862.361662,2457862.383577,2457862.401137,2457862.417485,2457862.432191,2457862.446153,2457862.458722,2457862.469612,2457862.480148,2457862.489794,2457862.500709,2457862.511654,2457862.522125,2457862.531697,2457862.541527,2457862.551403,2457862.559861,2457862.568714,2457862.576755,2457862.584802,2457862.593186,2457862.600680,2457862.609950,2457862.617537,2457862.624593,2457862.632187,2457862.640590,2457862.648545,2457862.656149,2457862.663869,2457862.671756,2457862.681519,2457862.690253,2457862.699353,2457862.708497,2457862.717742,2457862.726599,2457862.736925,2457862.746162,2457862.755686,2457862.765957,2457862.775184,2457862.784198,2457862.794708,2457862.803997,2457862.813144,2457862.822835,2457862.833131,2457862.844442,2457862.853826,2457862.863502,2457862.874846,2457862.885562,2457862.897168,2457862.909126,2457862.920794,2457862.932248,2457862.946247,2457862.959837,2457862.974827,2457862.991271,2457863.009671,2457863.027496,2457863.051783,2457863.073241,2457863.100683,2457863.131373,2457863.168812,2457863.217962,2457863.287492,2457863.376849,2457863.506959,2457863.679181,2457863.843621,2457864.019937,2457864.201732,2457864.374554,2457864.548511,2457864.724433,2457864.894340,2457865.084511,2457865.258735,2457865.430530,2457865.593344,2457865.737243,2457865.863129,2457865.954565,2457866.059534,2457866.186958,2457866.391340,2457866.468774,2457866.489858,2457866.913054",0.08811,0.91189,1.08811,0.4566354166666667
Qatar-10b,MCS,False,0.3427274548359964,0.2372361837971674,0.4440592140900356,0.1081474104869946,0.105491271038829,0.1013317592540392,"0.007609,0.102731,0.126377,0.144457,0.157216,0.168598,0.178900,0.187341,0.194834,0.202035,0.208512,0.214576,0.220403,0.225076,0.229970,0.233625,0.237964,0.241820,0.245609,0.249873,0.253752,0.257393,0.261102,0.264225,0.267271,0.271088,0.274483,0.277709,0.281283,0.284501,0.287566,0.290695,0.293703,0.296697,0.299645,0.302633,0.305517,0.308119,0.311117,0.314014,0.316515,0.319488,0.322112,0.324945,0.327535,0.329912,0.332608,0.335650,0.338498,0.341106,0.344133,0.346981,0.349828,0.352379,0.354517,0.356963,0.359544,0.362130,0.364769,0.367519,0.369930,0.372557,0.375442,0.378316,0.381182,0.384275,0.386883,0.389547,0.392371,0.395118,0.398420,0.401540,0.404234,0.407013,0.410114,0.413660,0.416624,0.419988,0.423608,0.427315,0.430967,0.435528,0.439445,0.443403,0.448205,0.452983,0.458961,0.463935,0.469750,0.475703,0.482416,0.489269,0.498534,0.508440,0.519271,0.533569,0.554211,0.582090,0.628391,0.936837",2458248.7293289294,2458248.564507216,2458248.8936592923,0.2069517407245979,0.1648217132315039,0.1643303628079593,"2458247.806269,2458248.147546,2458248.241268,2458248.295101,2458248.336240,2458248.373156,2458248.404332,2458248.429709,2458248.453139,2458248.473710,2458248.490271,2458248.505252,2458248.519017,2458248.532356,2458248.544208,2458248.555948,2458248.565840,2458248.575937,2458248.585750,2458248.594947,2458248.603803,2458248.612740,2458248.620829,2458248.629154,2458248.636428,2458248.642984,2458248.648992,2458248.654857,2458248.660336,2458248.665999,2458248.671108,2458248.675856,2458248.681001,2458248.685048,2458248.689046,2458248.692836,2458248.696787,2458248.700329,2458248.703882,2458248.707030,2458248.709825,2458248.712485,2458248.715182,2458248.717580,2458248.720169,2458248.722415,2458248.724251,2458248.726108,2458248.727571,2458248.728803,2458248.729697,2458248.730650,2458248.731923,2458248.733576,2458248.735394,2458248.737638,2458248.740060,2458248.742709,2458248.745421,2458248.748162,2458248.751143,2458248.754069,2458248.757404,2458248.761171,2458248.764765,2458248.768531,2458248.772587,2458248.777131,2458248.781605,2458248.786833,2458248.792236,2458248.797871,2458248.803489,2458248.809807,2458248.815550,2458248.822243,2458248.828994,2458248.836310,2458248.844308,2458248.853848,2458248.862259,2458248.870776,2458248.881326,2458248.891624,2458248.902395,2458248.914530,2458248.926328,2458248.941113,2458248.956484,2458248.972464,2458248.991227,2458249.009924,2458249.031332,2458249.050819,2458249.079547,2458249.112913,2458249.158994,2458249.219404,2458249.311534,2458249.691008",0.1265,0.8734999999999999,1.1265,0.49790625
WASP-60b,MCS,False,0.3657036915805389,0.1428324957214275,0.6536505696619374,0.2533305959631274,0.2228711958591114,0.2879468780813984,"0.000050,0.011258,0.023641,0.033648,0.045159,0.055067,0.064477,0.073427,0.082855,0.091252,0.098693,0.107452,0.115223,0.121336,0.128469,0.136460,0.143900,0.150532,0.157478,0.164800,0.171563,0.177768,0.184178,0.190316,0.197615,0.203562,0.210009,0.216747,0.223813,0.231012,0.237650,0.244085,0.250870,0.257760,0.264855,0.271732,0.277709,0.284456,0.290635,0.296990,0.304126,0.310282,0.316364,0.322182,0.328645,0.335325,0.341565,0.348333,0.355702,0.362299,0.368809,0.375730,0.382387,0.388270,0.395222,0.402352,0.409550,0.417367,0.424261,0.431081,0.438682,0.446388,0.454105,0.461602,0.470103,0.478176,0.485936,0.495063,0.502429,0.510584,0.518163,0.526906,0.534275,0.542334,0.552450,0.560952,0.570994,0.582655,0.593579,0.604486,0.615059,0.626473,0.638285,0.651247,0.664106,0.677569,0.691164,0.705470,0.723810,0.744539,0.763215,0.783399,0.807042,0.832755,0.862845,0.898484,0.944242,1.009161,1.118338,1.789787",2455749.1820265567,2455748.741169322,2455749.6264965273,0.5685452663572617,0.4408572353422642,0.4444699706509709,"2455746.659609,2455747.581679,2455747.814243,2455747.983715,2455748.100837,2455748.193488,2455748.274905,2455748.346283,2455748.407085,2455748.463242,2455748.517171,2455748.565714,2455748.609160,2455748.647977,2455748.683114,2455748.715356,2455748.745967,2455748.774204,2455748.801921,2455748.829473,2455748.854636,2455748.873955,2455748.895601,2455748.918522,2455748.936939,2455748.954239,2455748.970336,2455748.986220,2455749.001139,2455749.016556,2455749.030578,2455749.044668,2455749.056960,2455749.068446,2455749.078830,2455749.088755,2455749.099791,2455749.108976,2455749.117841,2455749.125620,2455749.134060,2455749.140878,2455749.148054,2455749.154336,2455749.159874,2455749.165617,2455749.170342,2455749.174640,2455749.178373,2455749.181138,2455749.182951,2455749.185610,2455749.189396,2455749.193494,2455749.197816,2455749.202962,2455749.208849,2455749.215108,2455749.221754,2455749.229939,2455749.237202,2455749.245231,2455749.253573,2455749.263452,2455749.273023,2455749.282897,2455749.291956,2455749.304797,2455749.317466,2455749.329081,2455749.342590,2455749.359364,2455749.374364,2455749.388691,2455749.405253,2455749.424891,2455749.447233,2455749.467985,2455749.488153,2455749.510887,2455749.534705,2455749.560680,2455749.590396,2455749.620528,2455749.654077,2455749.682740,2455749.719938,2455749.762267,2455749.807155,2455749.850137,2455749.900641,2455749.961362,2455750.024290,2455750.102249,2455750.181329,2455750.286184,2455750.394869,2455750.527576,2455750.761193,2455751.700326",0.077522727,0.922477273,1.077522727,0.4762083333333333
WASP-20b,MCS,False,0.6949252912118724,0.5445772132883989,0.8048606969807437,0.1566319747749625,0.1503480779234735,0.1099354057688712,"0.035187,0.240602,0.300600,0.341733,0.369322,0.394023,0.414776,0.433342,0.451179,0.466069,0.480860,0.495509,0.506097,0.516680,0.527299,0.536461,0.546107,0.554733,0.562475,0.570715,0.578274,0.585684,0.592838,0.598933,0.604889,0.610104,0.615661,0.620580,0.625531,0.630856,0.635347,0.639854,0.643782,0.648463,0.651890,0.655075,0.658394,0.661348,0.664408,0.667573,0.670477,0.673185,0.676018,0.678583,0.681592,0.684153,0.686122,0.688784,0.691331,0.693874,0.696284,0.698812,0.701107,0.703602,0.706169,0.708662,0.711292,0.713771,0.716051,0.718476,0.721505,0.723959,0.726619,0.729017,0.731209,0.733605,0.736036,0.738599,0.741653,0.744533,0.747637,0.750736,0.753953,0.757348,0.761010,0.764668,0.768525,0.772759,0.777198,0.781835,0.786678,0.792081,0.798015,0.804056,0.809906,0.816701,0.825096,0.833935,0.843337,0.854751,0.866548,0.879270,0.893106,0.907968,0.926867,0.950639,0.979503,1.021048,1.082653,1.410167",2455718.1025669808,2455717.574276805,2455718.60402063,0.6414879645848639,0.528290175832808,0.5014536492526531,"2455715.228354,2455716.300497,2455716.549360,2455716.737355,2455716.861522,2455716.965682,2455717.055872,2455717.134400,2455717.209890,2455717.272140,2455717.329649,2455717.378504,2455717.424534,2455717.467139,2455717.506568,2455717.544459,2455717.581458,2455717.616793,2455717.649737,2455717.679337,2455717.708923,2455717.734651,2455717.757964,2455717.780994,2455717.800752,2455717.821052,2455717.841723,2455717.860296,2455717.877670,2455717.895309,2455717.912779,2455717.929214,2455717.943366,2455717.958801,2455717.972752,2455717.985151,2455717.997956,2455718.009694,2455718.019971,2455718.028650,2455718.037992,2455718.048356,2455718.056286,2455718.063634,2455718.070846,2455718.077912,2455718.084065,2455718.090396,2455718.096238,2455718.100459,2455718.104500,2455718.107126,2455718.110950,2455718.116370,2455718.121863,2455718.128046,2455718.134994,2455718.142408,2455718.150427,2455718.159747,2455718.171559,2455718.180515,2455718.191548,2455718.203461,2455718.213829,2455718.225793,2455718.237724,2455718.251852,2455718.266245,2455718.281960,2455718.296621,2455718.314527,2455718.330650,2455718.349130,2455718.367571,2455718.388349,2455718.411400,2455718.433017,2455718.457841,2455718.485935,2455718.511992,2455718.539320,2455718.567776,2455718.598620,2455718.629348,2455718.665674,2455718.702114,2455718.739792,2455718.788935,2455718.840611,2455718.897246,2455718.955360,2455719.028200,2455719.104873,2455719.185688,2455719.285340,2455719.417388,2455719.597631,2455719.854861,2455720.960900",0.107930349,0.892069651,1.107930349,0.4976562499999999
HATS-52b,MCS,False,0.4478169033365426,0.3147870352863953,0.584986766827927,0.1407347727966198,0.1330298680501473,0.1371698634913843,"0.018972,0.137416,0.171589,0.195268,0.211804,0.225472,0.236930,0.248274,0.257140,0.266298,0.274907,0.283027,0.290345,0.297644,0.303207,0.309417,0.316092,0.321474,0.326515,0.331080,0.335961,0.341150,0.345515,0.350337,0.354789,0.359311,0.363646,0.367561,0.372007,0.376398,0.380149,0.383857,0.387727,0.391025,0.394748,0.398327,0.402223,0.405713,0.409083,0.412446,0.415857,0.419258,0.422614,0.426080,0.429452,0.432770,0.435812,0.439292,0.442405,0.446130,0.449201,0.452386,0.455909,0.459681,0.463296,0.466495,0.470066,0.473671,0.477099,0.480681,0.483867,0.487291,0.491318,0.494877,0.498398,0.502641,0.506823,0.510600,0.514466,0.518342,0.522246,0.525894,0.529652,0.533844,0.537960,0.542668,0.547188,0.551442,0.556055,0.561061,0.566455,0.571672,0.577565,0.583804,0.590346,0.596584,0.602579,0.609521,0.617115,0.625237,0.634821,0.644486,0.656647,0.669437,0.685550,0.704275,0.729078,0.761503,0.817100,1.182711",2456929.7134163035,2456929.5705508096,2456929.8641309743,0.1813250189291986,0.1428654938936233,0.1507146707735955,"2456928.934688,2456929.219808,2456929.296293,2456929.342547,2456929.375856,2456929.405184,2456929.428974,2456929.449870,2456929.467862,2456929.484674,2456929.499588,2456929.515456,2456929.529096,2456929.541173,2456929.551775,2456929.561822,2456929.572023,2456929.581007,2456929.589534,2456929.597111,2456929.604443,2456929.611370,2456929.619390,2456929.625642,2456929.631799,2456929.637579,2456929.642653,2456929.647983,2456929.652614,2456929.657507,2456929.662094,2456929.666578,2456929.670861,2456929.674627,2456929.678200,2456929.681661,2456929.684991,2456929.688309,2456929.691503,2456929.694473,2456929.697127,2456929.699620,2456929.701763,2456929.704058,2456929.705923,2456929.707748,2456929.709302,2456929.710804,2456929.712053,2456929.713041,2456929.713834,2456929.714815,2456929.716149,2456929.717720,2456929.719371,2456929.721583,2456929.723705,2456929.726052,2456929.728458,2456929.730883,2456929.733492,2456929.736790,2456929.740118,2456929.744085,2456929.747786,2456929.751541,2456929.755124,2456929.758873,2456929.763189,2456929.768123,2456929.773005,2456929.777984,2456929.783390,2456929.788398,2456929.793860,2456929.799888,2456929.806171,2456929.812499,2456929.819418,2456929.826965,2456929.835707,2456929.844147,2456929.853643,2456929.862459,2456929.873622,2456929.884794,2456929.895621,2456929.907969,2456929.921728,2456929.937493,2456929.951936,2456929.969060,2456929.986513,2456930.008911,2456930.033319,2456930.061518,2456930.100531,2456930.144637,2456930.216293,2456930.483980",0.1352,0.8648,1.1352,0.4913854166666667
TOI-1820b,MCS,False,0.8504163953018498,0.7971874713236261,0.9059135317639656,0.0549585181385831,0.0532289239782236,0.0554971364621159,"0.633618,0.730041,0.742323,0.750117,0.756224,0.762773,0.767338,0.772082,0.775742,0.779375,0.782303,0.785205,0.788216,0.790632,0.793248,0.795525,0.797643,0.799655,0.801912,0.803955,0.806008,0.807898,0.809598,0.811479,0.813026,0.814752,0.816209,0.817910,0.819404,0.820973,0.822650,0.824353,0.826050,0.827626,0.828936,0.830490,0.831666,0.832963,0.834400,0.835657,0.837193,0.838810,0.840124,0.841605,0.843140,0.844445,0.845853,0.847156,0.848546,0.849757,0.851096,0.852566,0.854134,0.855708,0.857375,0.859008,0.860390,0.861538,0.862891,0.864390,0.865605,0.866876,0.868306,0.869660,0.871310,0.872816,0.874425,0.875890,0.877395,0.878990,0.880891,0.882434,0.884086,0.885784,0.887415,0.889131,0.890996,0.892588,0.894813,0.896827,0.898721,0.901007,0.903086,0.905539,0.908315,0.910968,0.913459,0.916431,0.918920,0.922332,0.925563,0.929255,0.933301,0.938482,0.943515,0.949691,0.957283,0.969413,0.985336,1.068361",2458905.6241183896,2458905.6003071293,2458905.6495948583,0.0246975193964665,0.0238112602382898,0.0254764687269926,"2458905.534001,2458905.565356,2458905.572602,2458905.576932,2458905.580717,2458905.583808,2458905.586102,2458905.588393,2458905.590013,2458905.591397,2458905.592765,2458905.594434,2458905.595907,2458905.597203,2458905.598394,2458905.599517,2458905.600416,2458905.601327,2458905.602270,2458905.603206,2458905.604145,2458905.605076,2458905.606041,2458905.606947,2458905.607938,2458905.608761,2458905.609461,2458905.610156,2458905.610871,2458905.611607,2458905.612282,2458905.612918,2458905.613566,2458905.614179,2458905.614789,2458905.615426,2458905.616050,2458905.616734,2458905.617389,2458905.618075,2458905.618734,2458905.619365,2458905.619984,2458905.620587,2458905.621174,2458905.621730,2458905.622273,2458905.622765,2458905.623307,2458905.623861,2458905.624386,2458905.624969,2458905.625555,2458905.626155,2458905.626739,2458905.627340,2458905.627950,2458905.628555,2458905.629175,2458905.629814,2458905.630478,2458905.631090,2458905.631751,2458905.632376,2458905.633027,2458905.633733,2458905.634412,2458905.635134,2458905.635834,2458905.636516,2458905.637263,2458905.638069,2458905.638920,2458905.639719,2458905.640564,2458905.641363,2458905.642252,2458905.643150,2458905.644111,2458905.645114,2458905.646176,2458905.647264,2458905.648289,2458905.649394,2458905.650553,2458905.651589,2458905.652632,2458905.653911,2458905.655216,2458905.656408,2458905.657738,2458905.659082,2458905.660689,2458905.662664,2458905.664999,2458905.667540,2458905.670853,2458905.674899,2458905.681779,2458905.721817",0.0777,0.9223,1.0777,0.3411041666666666
TOI-2202b,MCS,False,0.3179054722554655,0.264176220176727,0.3951212958330563,0.0661140899306326,0.0537292520787385,0.0772158235775907,"0.117791,0.192350,0.207416,0.217178,0.224037,0.229844,0.234523,0.238357,0.242106,0.245636,0.248659,0.251917,0.254666,0.257278,0.259754,0.262278,0.264583,0.266806,0.269094,0.271179,0.273219,0.275159,0.277056,0.278721,0.280424,0.282003,0.283580,0.285138,0.286777,0.288453,0.289951,0.291457,0.292971,0.294357,0.295780,0.297214,0.298751,0.300162,0.301478,0.302826,0.304362,0.305710,0.307189,0.308542,0.309908,0.311240,0.312727,0.314195,0.315605,0.317029,0.318637,0.320174,0.321824,0.323433,0.325069,0.326850,0.328949,0.330896,0.332864,0.334835,0.336883,0.338971,0.340970,0.343252,0.345348,0.347701,0.350095,0.352343,0.354770,0.356889,0.359352,0.361676,0.364319,0.366713,0.369214,0.371678,0.374303,0.376945,0.379671,0.382502,0.385359,0.388409,0.391425,0.394607,0.398318,0.401783,0.405203,0.408820,0.413045,0.416757,0.421222,0.426353,0.431839,0.438207,0.445234,0.453487,0.463373,0.476644,0.497236,0.655155",2459583.864807274,2459583.726151535,2459583.9546461306,0.1355079410614761,0.1386557393707335,0.0898388563655316,"2459583.164923,2459583.480163,2459583.530443,2459583.563226,2459583.587921,2459583.609643,2459583.626605,2459583.642024,2459583.655480,2459583.666848,2459583.677531,2459583.686617,2459583.695921,2459583.704262,2459583.712688,2459583.719832,2459583.727164,2459583.734195,2459583.741771,2459583.748451,2459583.755009,2459583.761053,2459583.767232,2459583.772718,2459583.777638,2459583.781911,2459583.786376,2459583.790297,2459583.794291,2459583.798147,2459583.801608,2459583.805214,2459583.808740,2459583.812245,2459583.815945,2459583.819340,2459583.822788,2459583.826156,2459583.829443,2459583.832769,2459583.836009,2459583.839326,2459583.842535,2459583.845709,2459583.848607,2459583.851626,2459583.854572,2459583.857455,2459583.860377,2459583.863344,2459583.866195,2459583.869020,2459583.871982,2459583.874695,2459583.877402,2459583.880240,2459583.882937,2459583.885494,2459583.888072,2459583.890796,2459583.893475,2459583.895998,2459583.898616,2459583.901278,2459583.903890,2459583.906327,2459583.908758,2459583.911037,2459583.913309,2459583.915555,2459583.917667,2459583.919868,2459583.921976,2459583.924055,2459583.926088,2459583.928011,2459583.930009,2459583.932019,2459583.934451,2459583.937369,2459583.940927,2459583.944900,2459583.949440,2459583.953866,2459583.959043,2459583.964955,2459583.971304,2459583.978052,2459583.985252,2459583.994195,2459584.003252,2459584.012504,2459584.023999,2459584.037457,2459584.055305,2459584.075609,2459584.105953,2459584.145740,2459584.203115,2459584.593134",0.1265,0.8734999999999999,1.1265,0.5590104166666667
TOI-4087b,MCS,False,0.3136460970358158,0.2338525577502522,0.3933675046426966,0.0860261942460007,0.0797935392855635,0.0797214076068807,"0.018207,0.107046,0.132255,0.147584,0.160483,0.171314,0.180077,0.187875,0.195162,0.201297,0.207674,0.212598,0.217561,0.222164,0.226769,0.230645,0.234550,0.238311,0.241653,0.244923,0.247806,0.250950,0.254028,0.257010,0.259607,0.262020,0.264582,0.266932,0.269488,0.271882,0.274146,0.276230,0.278356,0.280548,0.282603,0.284712,0.287002,0.288843,0.290750,0.292735,0.294616,0.296667,0.298549,0.300531,0.302514,0.304473,0.306570,0.308529,0.310496,0.312558,0.314679,0.316819,0.318686,0.320631,0.322583,0.324369,0.326363,0.328018,0.329874,0.331712,0.333526,0.335698,0.337726,0.339448,0.341455,0.343672,0.345997,0.348237,0.350416,0.352646,0.355048,0.357612,0.360044,0.362685,0.365093,0.367387,0.370361,0.373058,0.375869,0.378839,0.381890,0.385324,0.389042,0.392754,0.396564,0.400484,0.403965,0.408548,0.413671,0.418825,0.424521,0.430716,0.437826,0.445729,0.455680,0.467487,0.481372,0.504102,0.536533,0.757079",2459246.1543153618,2459245.8048398835,2459246.489391561,0.423989637834139,0.3494754782877862,0.3350761993788183,"2459244.208178,2459244.980941,2459245.150832,2459245.263006,2459245.344926,2459245.413162,2459245.474270,2459245.527281,2459245.573161,2459245.613388,2459245.646623,2459245.679451,2459245.708904,2459245.736092,2459245.761433,2459245.786108,2459245.808559,2459245.831056,2459245.850693,2459245.869539,2459245.887265,2459245.903779,2459245.920891,2459245.936987,2459245.950540,2459245.964546,2459245.979152,2459245.992190,2459246.004561,2459246.016692,2459246.028057,2459246.039007,2459246.048296,2459246.057192,2459246.066764,2459246.074838,2459246.083349,2459246.090825,2459246.098275,2459246.104945,2459246.110726,2459246.116368,2459246.122061,2459246.127397,2459246.133088,2459246.137443,2459246.142057,2459246.145952,2459246.150170,2459246.153058,2459246.155227,2459246.157681,2459246.160911,2459246.164993,2459246.169523,2459246.174042,2459246.179235,2459246.185351,2459246.190867,2459246.196535,2459246.202381,2459246.209227,2459246.214946,2459246.221972,2459246.229446,2459246.237632,2459246.246769,2459246.256431,2459246.265712,2459246.275225,2459246.284658,2459246.295818,2459246.307121,2459246.319078,2459246.332063,2459246.345712,2459246.358648,2459246.373703,2459246.390362,2459246.407406,2459246.425313,2459246.439609,2459246.461658,2459246.485810,2459246.514482,2459246.536741,2459246.560854,2459246.585795,2459246.617596,2459246.653015,2459246.686231,2459246.728409,2459246.774547,2459246.825585,2459246.887585,2459246.951810,2459247.039739,2459247.150690,2459247.318892,2459248.015405",0.107568134,0.892431866,1.107568134,0.4983125
WASP-2b,MCS,False,0.7306761878162554,0.566308156788802,0.8389073763873909,0.1636720238854408,0.1643680310274534,0.1082311885711354,"0.047433,0.236898,0.302565,0.346742,0.379795,0.408120,0.432051,0.451036,0.468273,0.482920,0.498162,0.512007,0.525127,0.536120,0.547365,0.557918,0.567951,0.577237,0.586863,0.594094,0.601690,0.609833,0.616955,0.624722,0.631222,0.637670,0.643657,0.649443,0.655308,0.660319,0.665702,0.670921,0.675614,0.680249,0.684396,0.688577,0.692174,0.695243,0.698816,0.701896,0.705498,0.708394,0.711429,0.714306,0.716768,0.719482,0.721817,0.724339,0.726763,0.729337,0.731614,0.734261,0.736438,0.738916,0.741054,0.743205,0.745408,0.747550,0.749701,0.751880,0.753941,0.756126,0.758753,0.760607,0.763240,0.765920,0.768414,0.771040,0.773885,0.776670,0.779562,0.782798,0.785949,0.789644,0.792915,0.796710,0.800969,0.806020,0.810182,0.814622,0.819689,0.825261,0.831522,0.837904,0.844491,0.851943,0.859902,0.867519,0.876099,0.888051,0.899933,0.912664,0.928300,0.946349,0.966061,0.989001,1.020343,1.060995,1.127341,1.473352",2458340.0810062177,2458339.8523801025,2458340.314358437,0.2876116275290661,0.2286261152476072,0.2333522192202508,"2458338.845368,2458339.288503,2458339.400568,2458339.476809,2458339.532882,2458339.578354,2458339.616860,2458339.654012,2458339.686716,2458339.715202,2458339.740290,2458339.762215,2458339.783702,2458339.803693,2458339.823171,2458339.838894,2458339.854279,2458339.868481,2458339.882069,2458339.895318,2458339.906400,2458339.918439,2458339.929510,2458339.939221,2458339.948085,2458339.957357,2458339.966587,2458339.975257,2458339.983550,2458339.990209,2458339.998511,2458340.005610,2458340.012035,2458340.018461,2458340.025285,2458340.030823,2458340.036151,2458340.041853,2458340.047035,2458340.051423,2458340.055615,2458340.059974,2458340.063448,2458340.066565,2458340.069854,2458340.072499,2458340.075345,2458340.077635,2458340.078928,2458340.080109,2458340.082015,2458340.083855,2458340.086408,2458340.089496,2458340.092631,2458340.095745,2458340.098917,2458340.102843,2458340.106615,2458340.110766,2458340.114813,2458340.119422,2458340.125071,2458340.129583,2458340.135051,2458340.140166,2458340.145635,2458340.151516,2458340.158119,2458340.164567,2458340.171943,2458340.179491,2458340.187122,2458340.194605,2458340.203958,2458340.213190,2458340.223178,2458340.233200,2458340.243778,2458340.255244,2458340.268919,2458340.281702,2458340.295959,2458340.311871,2458340.328914,2458340.346153,2458340.363182,2458340.382877,2458340.403093,2458340.425315,2458340.448240,2458340.473761,2458340.503735,2458340.535924,2458340.575041,2458340.616484,2458340.680680,2458340.756474,2458340.875518,2458341.318958",0.12831,0.87169,1.12831,0.49303125
K2-237b,MCS,False,0.1792780349339747,0.0906314969348617,0.2868231537693658,0.0954441628332079,0.0886465379991129,0.107545118835391,"0.000031,0.012266,0.020831,0.029009,0.035875,0.042946,0.047894,0.052760,0.057851,0.062541,0.067417,0.071754,0.076176,0.080570,0.084266,0.087792,0.091056,0.094304,0.097920,0.101052,0.104398,0.107390,0.110487,0.113709,0.116911,0.119907,0.122754,0.125327,0.128276,0.131078,0.133509,0.136157,0.138878,0.141233,0.143581,0.146002,0.148566,0.150871,0.153007,0.155207,0.157470,0.159548,0.162142,0.164258,0.166428,0.168477,0.170681,0.173080,0.175472,0.177943,0.180445,0.183055,0.185336,0.187849,0.190694,0.193594,0.196187,0.199127,0.201555,0.203903,0.206768,0.209885,0.212853,0.215660,0.218818,0.221723,0.224775,0.227974,0.230935,0.234330,0.237410,0.240561,0.243812,0.246729,0.250470,0.254099,0.258001,0.261691,0.265486,0.269327,0.272732,0.277421,0.281607,0.285937,0.290712,0.295738,0.300484,0.306573,0.312073,0.317700,0.323733,0.329727,0.336885,0.346194,0.356051,0.367705,0.381164,0.399433,0.427364,0.632726",2457707.7132834224,2457707.6832322557,2457707.7500119344,0.0391242174003036,0.0300511666573584,0.0367285120300948,"2457707.504230,2457707.611019,2457707.625931,2457707.635263,2457707.642533,2457707.649428,2457707.655077,2457707.659607,2457707.663655,2457707.667361,2457707.670290,2457707.672988,2457707.675522,2457707.677725,2457707.679844,2457707.681681,2457707.683505,2457707.685124,2457707.686640,2457707.688351,2457707.689813,2457707.691113,2457707.692353,2457707.693765,2457707.694917,2457707.696072,2457707.697120,2457707.698235,2457707.699129,2457707.700186,2457707.701174,2457707.702045,2457707.702844,2457707.703634,2457707.704291,2457707.704922,2457707.705490,2457707.705969,2457707.706311,2457707.706646,2457707.707107,2457707.707670,2457707.708237,2457707.708728,2457707.709384,2457707.710085,2457707.710779,2457707.711480,2457707.712217,2457707.712945,2457707.713669,2457707.714438,2457707.715214,2457707.716027,2457707.716846,2457707.717599,2457707.718414,2457707.719261,2457707.720126,2457707.721004,2457707.721822,2457707.722588,2457707.723376,2457707.724276,2457707.725199,2457707.726263,2457707.727313,2457707.728454,2457707.729423,2457707.730471,2457707.731554,2457707.732550,2457707.733722,2457707.734806,2457707.735954,2457707.737155,2457707.738397,2457707.739917,2457707.741337,2457707.742702,2457707.743793,2457707.745473,2457707.747474,2457707.749604,2457707.751679,2457707.753720,2457707.756130,2457707.758755,2457707.761829,2457707.764915,2457707.768010,2457707.771395,2457707.774736,2457707.778221,2457707.782508,2457707.788254,2457707.794693,2457707.803490,2457707.815593,2457707.874535",0.119,0.881,1.119,0.4958854166666667
