Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,b_mean,b_std,k_mean,k_std,dominant_regime
BD-143065b,True,1.0064382286403577,0.0843,0.0175,0.97272,0.00978,1.0060435712968696,0.03922843505404963,0.08429639487053621,0.0022508611179395104,Grazing Eclipse
WASP-34b,False,0.9891165649969113,0.134806963,0.01906,0.9508,0.03014,0.9898698704021558,0.07053078302518863,0.13480873397843568,0.0009638903139501458,Grazing Eclipse
TOI-4515b,False,0.9080310675512931,0.13,0.0,0.92908,0.07092,0.9085278478677207,0.027549413056034238,0.12999998946325467,0.0010033165486926783,Grazing Eclipse
Qatar-6b,False,0.8950192478083252,0.1516,0.00017,0.78588,0.21395,0.8965033782747626,0.06264475812093086,0.15159943145225782,0.005072140157324227,Grazing Eclipse
WASP-140b,False,0.921413983569104,0.170089961,0.0092,0.78187,0.20893,0.9160917701762931,0.10967708434924137,0.1700670993981817,0.004278603808225959,Grazing Eclipse
TOI-4406b,False,0.9536605672301924,0.079,0.01271,0.74883,0.23846,0.956446496886938,0.050738781009163826,0.07900650968756481,0.0010012202417052501,Grazing Eclipse
TOI-5143c,False,0.9527354560851437,0.175,0.08902,0.67504,0.23594,0.9311932422940102,0.21859171896079269,0.17487205952112864,0.01905502619467117,Grazing Eclipse
TIC46432937b,False,0.8056309155815495,0.2301,0.00943,0.60254,0.38803,0.7803023148901457,0.1822986526905034,0.2300740767918334,0.003698607423096582,Grazing Eclipse
WASP-177b,False,0.9218204323549088,0.183463325,0.11134,0.57004,0.31862,0.9147476421180474,0.24963801049030995,0.18343917364199794,0.007253311776776953,Grazing Eclipse
TOI-1273b,False,1.0122603171992983,0.096,0.24738,0.56886,0.18376,1.0149110163589503,0.12365554487288513,0.09606013302346557,0.02094966431958283,Grazing Eclipse
