Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],Planet Transit Temperature [K],Planet Eclipse Temperature [K],observed_flag,abs_b_occ_84,abs_b_occ_median,lower_grazing,upper_grazing,grazing_depth
HATS-1b,MCS,False,0.6591338217135208,0.4471487758675343,0.8741983267896495,0.2062296951740699,0.2119850458459864,0.2150645050761287,0.1288,1.1288,1,Premium (non-grazing),0.48846875,HATS-1,5870.0,10.634,10.92399979,3.4464563,0.12,85.6,0.633,1.661491593,1.302,14.59409291,1378.411356,1378.411356,False,0.8741983267896495,0.6591338217135208,0.8712,1.1288,0.002998326789649508
WASP-135b,MCS,False,0.7262969768008489,0.557939442272837,0.8644494146544511,0.1675162317112023,0.1683575345280119,0.1381524378536022,0.139157803,1.139157803,1,Premium (non-grazing),0.4908854166666666,WASP-135,5675.0,11.123,11.58100033,1.40137864,0.0,82.0,0.8,1.94,1.3,14.57167495,1720.01266,1720.01266,False,0.8644494146544511,0.7262969768008489,0.860842197,1.139157803,0.003607217654451156
TOI-2134c,MCS,False,0.5192295612303603,-0.0679033401898487,0.9112906658426556,0.4763451005193665,0.5871329014202091,0.3920611046122951,0.09404,1.09404,1,Premium (non-grazing),0.4543125,TOI-2134,4580.0,6.247,6.776000023,95.5,0.67,89.36118307,0.464,0.883720621,0.64858707,7.26999997,503.1765751,0.0,False,0.9112906658426556,0.5192295612303603,0.90596,1.09404,0.005330665842655624
CoRoT-11b,MCS,False,0.802927957947428,0.6314063783347651,0.8988418098086121,0.1581544492846052,0.1715215796126629,0.095913851861184,0.107,1.107,1,Premium (non-grazing),0.4858645833333333,CoRoT-11,6440.0,11.416,11.58899975,2.99427803,0.0,83.17,0.818,1.1449,1.43,16.02884245,1734.847316,1734.847316,False,0.8988418098086121,0.802927957947428,0.893,1.107,0.005841809808612042
TOI-1820b,MCS,False,0.8182594117519004,0.6332028154738021,0.9294054528282386,0.164888063586708,0.1850565962780983,0.1111460410763381,0.0777,1.0777,1,Premium (non-grazing),0.4778229166666666,TOI-1820,5734.0,9.587,9.914999962,4.860674,0.043,84.4,0.84,0.601903259,1.14,12.77823803,1380.513732,1371.258479,False,0.9294054528282386,0.8182594117519004,0.9223,1.0777,0.007105452828238601
Wolf503b,MCS,False,0.8542965225648576,0.6296225725555021,0.9795987376610972,0.1781760719763151,0.2246739500093554,0.1253022150962395,0.02791,1.02791,1,Premium (non-grazing),0.4315729166666666,Wolf503,4716.0,7.774,8.324000359,6.00118,0.41,86.5283213,0.65,0.073898726,0.18226457,2.043000053,1017.835695,0.0,False,0.9795987376610972,0.8542965225648576,0.97209,1.02791,0.0075087376610971646
LTT9779b,MCS,True,0.8714271451884652,0.6622434147893524,0.9622848605010222,0.1668433197807646,0.2091837303991127,0.090857715312557,0.0455,1.0455,1,Premium (non-grazing),0.4575,LTT9779,5443.0,8.153,8.446000099,0.79206425,0.0,76.39,0.895223561,0.207916392,0.4210902,4.719991938,1954.67895,1954.67895,True,0.9622848605010222,0.8714271451884652,0.9545,1.0455,0.007784860501022228
HAT-P-59b,MCS,False,0.8121457587707311,0.6294475073540127,0.9048059418327786,0.1597206505099387,0.1826982514167184,0.0926601830620474,0.10452,1.10452,1,Premium (non-grazing),0.4844166666666667,HAT-P-59,5678.0,10.268,10.58100033,4.1419776,0.0,85.18,0.8299,1.09307414,1.123,12.58768536,1277.973399,1277.973399,False,0.9048059418327786,0.8121457587707311,0.89548,1.10452,0.009325941832778573
WASP-90b,MCS,False,0.8082864075940559,0.6300048603769985,0.924760329586326,0.1634649511844957,0.1782815472170573,0.1164739219922702,0.084597564,1.084597564,1,Premium (non-grazing),0.4768020833333333,WASP-90,6430.0,10.302,10.55000019,3.9162637,0.0,82.1,0.841,0.71,1.63,18.27063859,1840.385098,1840.385098,False,0.924760329586326,0.8082864075940559,0.915402436,1.084597564,0.009357893586325994
Gaia-2b,MCS,False,0.7572640001402917,0.5845510862576099,0.8824372862279455,0.1667765279227288,0.1727129138826818,0.1251732860876537,0.127680705,1.127680705,1,Premium (non-grazing),0.4907708333333334,Gaia-2,5720.0,9.818,10.12800026,3.6915224,0.0,85.21,0.788107628,1.630236232,1.322,14.81827253,1316.563165,1316.563165,False,0.8824372862279455,0.7572640001402917,0.872319295,1.127680705,0.010117991227945433
