Planet Name,Star Name,Pocc_median,Pocc_16 (lower),Pocc_84 (upper),Uncertainty Range,Reliability Score,Data Quality,MCMC Converged
HAT-P-59 b,HAT-P-59,0.11168448236107159,0.11063466359778777,0.11268743521870386,0.0020527716209160912,0.9816199029845565,High,True
TOI-2669 b,TOI-2669,0.28633420893250583,0.2836517137998499,0.28944996118153676,0.005798247381686883,0.9797500710679888,High,True
HAT-P-60 b,HAT-P-60,0.1749488034623703,0.17310834682216442,0.1769375370509955,0.0038291902288310753,0.9781125097568633,High,True
Qatar-7 b,Qatar-7,0.22860858000260717,0.22594082382458947,0.23136263833394105,0.005421814509351586,0.9762834163560714,High,True
K2-36 c,K2-36,0.06292723766606385,0.06203885836033518,0.06381906083200733,0.0017802024716721543,0.9717101443238434,High,True
HR 858 b,HR 858,0.128484564862004,0.12643039028502626,0.1301412954257884,0.0037109051407621385,0.9711178915167923,High,True
Kepler-444 e,Kepler-444,0.05083762403806465,0.05006378539336085,0.05161370398001466,0.0015499185866538062,0.9695123716739141,High,True
HATS-37 A b,HATS-37 A,0.08921913969159552,0.08774220492361191,0.09059852068335121,0.0028563157597392974,0.9679853922643421,High,True
KELT-21 b,KELT-21,0.160526874936372,0.1578175169619978,0.16334320268795413,0.005525685725956325,0.9655778153773532,High,True
HAT-P-64 b,HAT-P-64,0.16529536620099528,0.16225685027957015,0.16816439367208144,0.005907543392511289,0.9642606835975798,High,True
HAT-P-58 b,HAT-P-58,0.15514780134963949,0.15226538951306612,0.15801646565506713,0.005751076142001016,0.962931629762252,High,True
HATS-67 b,HATS-67,0.246644412401797,0.2419331973604738,0.2517746222267314,0.009841424866257609,0.9600987317311475,High,True
TOI-2567 b,TOI-2567,0.12396326184993514,0.12143835690163436,0.12658129574735924,0.005142938845724879,0.9585123949710946,High,True
CoRoT-11 b,CoRoT-11,0.16003190962095482,0.15672541557004094,0.16352959892132501,0.006804183351284077,0.9574823335708472,High,True
HATS-66 b,HATS-66,0.1951647819348284,0.19088780079369014,0.19958380290692881,0.008696002113238677,0.9554427698121143,High,True
TOI-3912 b,TOI-3912,0.15258391940632698,0.14883504712204212,0.15597914766593385,0.007144100543891724,0.9531792041278795,High,True
TOI-1296 b,TOI-1296,0.1684152518605902,0.1642097530001103,0.17219102986731616,0.007981276867205872,0.9526095363749325,High,True
TOI-1518 b,TOI-1518,0.27363067655168155,0.26683567394967855,0.28036209832641806,0.01352642437673951,0.9505668569503949,High,True
TOI-1259 A b,TOI-1259 A,0.09332490890883516,0.09077946496938048,0.09543813732707061,0.00465867235769013,0.9500811475504254,High,True
Kepler-91 b,Kepler-91,0.3942577528672596,0.3837783478590549,0.40377145769840656,0.019993109839351653,0.949289241127281,High,True
LHS 1678 b,LHS 1678,0.12513902666479965,0.12125215129831318,0.12834881356207303,0.007096662263759851,0.943289775756614,High,True
TOI-3688 A b,TOI-3688 A,0.145395097149689,0.1413793155699556,0.14964207805175125,0.008262762481795666,0.9431702812283355,High,True
TOI-2427 b,TOI-2427,0.15283951203421298,0.14808360096340112,0.15780723992917906,0.009723638965777937,0.9363800705958725,High,True
WASP-4 b,WASP-4,0.21108498531087638,0.20410522272067189,0.21762242276122024,0.01351720004054835,0.9359632329100015,High,True
WASP-160 B b,WASP-160 B,0.10049843193592367,0.09722731002201841,0.10371646498031317,0.00648915495829476,0.93543028649012,High,True
KELT-20 b,KELT-20,0.14903982376062305,0.14387168910655707,0.15410478943481618,0.01023310032825911,0.9313398253563774,High,True
TOI-1431 b,TOI-1431,0.20833539898826206,0.2007153005794343,0.2152803228259186,0.014565022246484316,0.9300885863985845,High,True
TOI-1820 b,TOI-1820,0.13389785295350198,0.12883088761790124,0.13836222359330153,0.00953133597540029,0.9288163643765805,High,True
HATS-29 b,HATS-29,0.10180692608281644,0.09800494765203918,0.10532687698452815,0.007321929332488972,0.9280802435137583,High,True
TOI-564 b,TOI-564,0.2181247907199059,0.20912978103823346,0.2275450762031021,0.018415295164868645,0.9155744970386437,High,True
WASP-144 b,WASP-144,0.13235589628694475,0.1262379432522709,0.1382268566093969,0.011988913357126013,0.9094191215241797,High,True
WASP-192 b,WASP-192,0.1637581676436824,0.15654246019930262,0.1719599744662133,0.015417514266910681,0.9058519371048577,High,True
WASP-65 b,WASP-65,0.1579420163476879,0.1503831974850249,0.16543160999042758,0.015048412505402675,0.9047219172365405,High,True
HAT-P-19 b,HAT-P-19,0.0872581622203249,0.08254970027265579,0.09171718542738548,0.00916748515472969,0.8949383654037774,High,True
WASP-185 b,WASP-185,0.07456098693668259,0.07050152286766599,0.0785605422392917,0.008059019371625703,0.8919137245531709,High,True
HATS-50 b,HATS-50,0.11364647270902695,0.10712460352614213,0.11963812766401305,0.012513524137870921,0.889890782885011,High,True
TOI-942 c,TOI-942,0.06222596591571987,0.05858744193211867,0.0656324935213839,0.0070450515892652235,0.8867827684859535,High,True
CoRoT-35 b,CoRoT-35,0.19563923063099267,0.18493076430579408,0.2084821503157952,0.02355138601000112,0.8796182854837389,High,True
HAT-P-56 b,HAT-P-56,0.17143361026750858,0.16019125856091523,0.18267878665670545,0.022487528095790216,0.8688266083838507,High,True
WASP-95 b,WASP-95,0.1673957266663273,0.15679579346089165,0.17950276649094146,0.022706973030049815,0.8643515370299028,High,True
KELT-12 b,KELT-12,0.1740817465382329,0.16194934078824066,0.18720902757991983,0.02525968679167917,0.8548975564986563,High,True
HAT-P-31 b,HAT-P-31,0.08874172716931297,0.08151940186566614,0.09527026392994728,0.013750862064281139,0.8450462651234468,High,True
KPS-1 b,KPS-1,0.17429491664640961,0.16070360583419582,0.18903540221907855,0.02833179638488273,0.8374490953034553,High,True
K2-52 b,K2-52,0.2043772457770297,0.18262362296631413,0.22751660480740632,0.044892981841092194,0.7803425637212604,Medium,True
WASP-60 b,WASP-60,0.10517763135548995,0.09371913667246076,0.11792664295701424,0.02420750628455348,0.7698416861781712,Medium,True
HATS-51 b,HATS-51,0.1563598144867337,0.13830512186320973,0.1756925080574475,0.03738738619423776,0.7608887787634854,Medium,True
WASP-73 b,WASP-73,0.17859053988865964,0.15076231924102426,0.210366734404677,0.05960441516365275,0.6662509940290651,Medium,True
WASP-15 b,WASP-15,0.15327824081940075,0.11629522790552385,0.18818644622920006,0.0718912183236762,0.530975708363057,Medium,True
HAT-P-33 b,HAT-P-33,0.1678261831288697,0.12325855741920462,0.2100674164843755,0.08680885906517087,0.48274543669677317,Low,True
Kepler-105 b,Kepler-105,0.08428327203316202,0.06048357957625279,0.10549607422224253,0.045012494645989734,0.4659379784368225,Low,True
