Planet Name,Star Name,Pocc_median,Pocc_16 (lower),Pocc_84 (upper),Uncertainty Range,Transit_depth_median,Transit_depth_16 (lower),Transit_depth_84 (upper),Transit_depth_ppm,Transit_depth_source,Eclipse_depth_median,Eclipse_depth_16 (lower),Eclipse_depth_84 (upper),Eclipse_depth_ppm,Planet_Teq_K,Planet_temp_source,TSM_median,TSM_16 (lower),TSM_84 (upper),ESM_median,ESM_16 (lower),ESM_84 (upper),Reliability Score,Data Quality,MCMC Converged
Kepler-7 b,Kepler-7,0.15911829434100005,0.15837611295134907,0.15989135595494972,0.001515243003600647,0.00756927856594681,0.007565938419040063,0.007572695552463105,7569.27856594681,dataset,3.563197979773627e-05,3.5616256232264904e-05,3.564806508161861e-05,35.63197979773627,1554.0704928661971,dataset,18.748544599710137,18.267758521049743,19.242947831817908,3282505.8217164865,3221634.4769409457,3346893.2895559696,0.990477254611884,High,True
TRAPPIST-1 b,TRAPPIST-1,0.05229562854891384,0.0521192122812673,0.05267593374967802,0.000556721468410723,0.00737829972580739,0.007313878345163332,0.007441773849869122,7378.29972580739,dataset,4.842898238614906e-06,4.800613945153771e-06,4.884560780804806e-06,4.8428982386149055,410.7181683738043,dataset,57.98633726044333,57.35285947230411,60.691625467822504,67440.69968298143,66975.49168960896,70186.86284344926,0.9893543402410776,High,True
TOI-150.01,TOI-150,0.11782291727401546,0.11707559202559638,0.11852044818712201,0.0014448561615256345,0.006490021517401795,0.006463378422111705,0.006516726513496544,6490.021517401796,dataset,1.4539441901812288e-05,1.4479754004782047e-05,1.4599268473753019e-05,14.539441901812287,1360.8263622985778,dataset,4.704640760701883,4.4820615105333905,4.942789323055948,3789512.687266692,3665685.372529488,3923664.410370416,0.9877370532409633,High,True
HATS-75 b,HATS-75,0.09575512530234079,0.09451636081926829,0.0959542271389217,0.0014378663196534108,0.026340120119685513,0.02586068372879794,0.02682249907827995,26340.120119685515,dataset,3.916842335314761e-05,3.8455489340551556e-05,3.98857330381842e-05,39.16842335314761,744.3284655526317,dataset,14.52664357260095,14.040468395011155,15.085325693006563,884384.8491095249,863899.9461813739,912128.6630580871,0.9849839231569752,High,True
GJ 9827 d,GJ 9827,0.05130659419924299,0.050900621918386624,0.0517121281780266,0.0008115062596399797,0.0009573142862521389,0.0009194557626977202,0.0009950094015423862,957.3142862521389,dataset,6.673880903979538e-07,6.409951616564572e-07,6.936670996764835e-07,0.6673880903979538,699.5264395188933,dataset,37.22105389938187,34.688269460601575,39.86681398522894,182532.12399089843,173891.42447453333,191490.19089507934,0.9841831976511909,High,True
WASP-47 b,WASP-47,0.11397499517294346,0.11305955127011313,0.11488923299091562,0.0018296817208024868,0.012800000399055978,0.012799941289405333,0.012800060244075206,12800.000399055978,dataset,2.990527643944356e-05,2.9905138338632022e-05,2.9905416258333225e-05,29.90527643944356,1220.6296553240654,dataset,10.800531031328727,10.381141464396354,11.229511166732998,3585829.6239512246,3483329.0133477394,3692711.727248647,0.983946639190235,High,True
HAT-P-59 b,HAT-P-59,0.11156865466690388,0.11069770787088842,0.11249363389842397,0.0017959260275355465,0.011379986648365058,0.011378295817732781,0.011381710948413597,11379.986648365058,dataset,2.5381988557463207e-05,2.5378217318964676e-05,2.5385834446342866e-05,25.381988557463206,1233.932380633276,dataset,8.525851447367655,8.207671907776945,8.862742970372098,3866431.890770875,3759039.8388161897,3979317.7444673143,0.9839029516588023,High,True
GJ 9827 b,GJ 9827,0.15154175823021004,0.1503368771978711,0.15277966636736356,0.0024427891694924764,0.0005861001390361016,0.0005650980973284621,0.000606862574571311,586.1001390361016,dataset,2.811368221765476e-06,2.7106269512615057e-06,2.9109601644770723e-06,2.811368221765476,1132.9471012194738,dataset,19.890147332811623,18.816171979355154,21.037435553001437,770706.6783686747,740671.6452865578,801221.2046453252,0.983880422148847,High,True
HATS-55 b,HATS-55,0.10792398010674006,0.10701758095896195,0.1088159620357525,0.0017983810767905478,0.01207931135270724,0.012051609693816023,0.012107332720515146,12079.31135270724,dataset,2.484601573501499e-05,2.478903600888657e-05,2.4903653072537203e-05,24.84601573501499,1323.3505249394236,dataset,8.64012938882679,8.14102395235504,9.201381136365507,2377062.0467465566,2281191.4960826356,2484708.3097683177,0.9833365941933211,High,True
GJ 9827 c,GJ 9827,0.07220735252217683,0.07160451552609316,0.07281109491446822,0.0012065793883750536,0.00036106787812983064,0.00034759311903990417,0.000374585959657306,361.06787812983066,dataset,3.9719717264008596e-07,3.823740977095584e-07,4.1206790495236534e-07,0.39719717264008597,784.0206101145584,dataset,23.909944373240705,22.60680675265838,25.20613876167579,109816.97213194743,105558.47493748416,113943.95673257705,0.9832900757855029,High,True
HAT-P-36 b,HAT-P-36,0.2400821947913202,0.2380893862033657,0.24213979375963332,0.004050407556267621,0.01885000118872527,0.018849550549187508,0.01885045917826018,18850.00118872527,dataset,0.00016914677287971738,0.0001691427291545854,0.00016915088255860106,169.1467728797174,1729.7143928957023,dataset,13.685944420135865,13.009063343814823,14.354532651236152,18219981.961083964,17567636.435311913,18869923.5228984,0.983129079772916,High,True
HAT-P-68 b,HAT-P-68,0.1209809373047725,0.11968144901121537,0.1217765505722177,0.00209510156100233,0.03340997466991605,0.03340643792828096,0.03341356330433093,33409.974669916046,dataset,7.892367497943856e-05,7.891532020964146e-05,7.893215233444939e-05,78.92367497943856,993.8405112756216,dataset,24.058708983173414,22.62277149968047,24.879768650076528,3518918.2094242945,3364971.8140258784,3640720.028675449,0.9826823827978419,High,True
TOI-2338 b,TOI-2338,0.07246170079467601,0.0718381028924939,0.0730960484818818,0.001257945589387896,0.011529998899823557,0.011528574754336428,0.011531435764690132,11529.998899823557,dataset,3.1682969671974962e-06,3.167905630141273e-06,3.168691799377325e-06,3.168296967197496,718.5569204661188,dataset,0.8036757611596126,0.7541456136371173,0.8569744606240152,319444.7233002763,305422.22665826004,334235.0023651534,0.9826398555983064,High,True
HD 260655 b,HD 260655,0.07367998071501633,0.07283385593807398,0.07411429079869215,0.001280434860618171,0.0006500734955243487,0.0006462548824822021,0.0006539273746480831,650.0734955243487,dataset,6.90421475077803e-07,6.863658529559017e-07,6.945145521340119e-07,0.690421475077803,686.5375302505394,dataset,49.14538203267638,45.37161843659172,51.742506651964234,252102.70865065965,239941.92321433622,263995.0773214374,0.9826216721531088,High,True
K2-287 b,K2-287,0.06250484559968078,0.06194092219930265,0.06304244466307221,0.001101522463769558,0.006318477153766241,0.006097006085940689,0.006542148148922463,6318.477153766241,calculated,2.3439311964743425e-06,2.261773275766602e-06,2.4269052122908955e-06,2.3439311964743426,790.3634319250516,dataset,19.32245245494154,18.397978399052377,20.287164616260473,623628.7987089866,601769.7759388371,645704.952601887,0.9823770068832042,High,True
HATS-63 b,HATS-63,0.13785524286740147,0.1366449981534884,0.13912024995919153,0.002475251805703127,0.012511546306707397,0.012186116900729531,0.012852003756451146,12511.546306707398,dataset,4.183291648153956e-05,4.07448286603235e-05,4.297125124140955e-05,41.83291648153956,1353.096292663172,dataset,7.741753037426873,7.026154306781243,8.532034615181745,2718407.661444367,2542566.6529627414,2904567.197310775,0.9820445580870363,High,True
MASCARA-1 b,MASCARA-1,0.25839065332611766,0.2560981271923671,0.2607682311484909,0.004670103956123828,0.006216233784748804,0.006182425434672863,0.0062504439603799766,6216.233784748804,dataset,7.804055828327492e-05,7.761611760006959e-05,7.847004361115555e-05,78.04055828327492,2507.1485952031167,dataset,18.087578304921625,17.382057989833562,18.7791905738219,88101814.82720053,85501567.79213119,90708671.69716139,0.9819261885211086,High,True
TIC 237913194 b,TIC 237913194,0.08530100785638059,0.08451920587463768,0.08608137837840149,0.001562172503763809,0.0078210863198758,0.007425719613802938,0.008212656373904193,7821.086319875801,dataset,2.99488974367142e-06,2.843493934370906e-06,3.1448317198593407e-06,2.9948897436714197,809.6679758212205,dataset,3.9374360720852186,3.4416256669080796,4.484973002653216,626313.4655354371,571812.2513630468,683851.1462628401,0.9816863535024815,High,True
HD 93963 A c,HD 93963 A,0.10352433333261593,0.10253912624199275,0.10445607510039487,0.001916948858402115,0.0008054585570974257,0.000779935559217936,0.0008308270599246346,805.4585570974257,dataset,1.7879910277611148e-06,1.7313339958033877e-06,1.8443051050567087e-06,1.7879910277611148,1299.540419854234,dataset,13.28930440608805,12.571784704756011,14.035836906861777,1021391.6490782695,980607.9190047717,1061933.7697619444,0.9814831083988428,High,True
XO-2 N b,XO-2 N,0.1343120864201242,0.1330499761266138,0.13554000548553624,0.002490029358922452,0.013361780311975597,0.013224730331813726,0.01349666640834608,13361.780311975597,dataset,4.576746572658456e-05,4.529803499778671e-05,4.622948460793797e-05,45.76746572658456,1291.8568474619865,dataset,29.8497928081845,28.620011792074724,31.048917239461755,7217571.590171021,6990519.039687783,7438486.068338145,0.981460869045443,High,True
