Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
K2-232b,False,0.123,0.0881,0.0,0.0,1.0,True Eclipse
Qatar-10b,False,0.3352,0.1265,0.0,0.0019,0.9981,True Eclipse
WASP-60b,False,0.3637,0.0775,0.015,0.0199,0.9652,True Eclipse
WASP-20b,False,0.6997,0.1079,0.0089,0.0611,0.93,True Eclipse
HATS-52b,False,0.4509,0.1352,0.0002,0.0087,0.9912,True Eclipse
TOI-1820b,False,0.8505,0.0777,0.0,0.101,0.899,True Eclipse
TOI-2202b,False,0.3226,0.1265,0.0,0.0,1.0,True Eclipse
TOI-4087b,False,0.3155,0.1076,0.0,0.0,1.0,True Eclipse
WASP-2b,False,0.7325,0.1283,0.0105,0.1106,0.879,True Eclipse
K2-237b,False,0.1866,0.119,0.0,0.0,1.0,True Eclipse
KELT-20b,True,0.4868,0.1144,0.0005,0.0066,0.9929,True Eclipse
WASP-107b,False,0.0939,0.1464,0.0,0.0,1.0,True Eclipse
TOI-2498b,False,0.4464,0.04,0.0126,0.0126,0.9749,True Eclipse
WASP-197b,False,0.4127,0.0627,0.0,0.0,1.0,True Eclipse
WASP-187b,False,0.7405,0.0596,0.0261,0.0507,0.9232,True Eclipse
Kepler-1517b,False,0.8248,0.0505,0.3185,0.0727,0.6088,True Eclipse
WASP-170b,False,0.6757,0.1175,0.0078,0.0497,0.9425,True Eclipse
WASP-61b,False,0.0998,0.0895,0.0,0.0,1.0,True Eclipse
WASP-37b,False,0.1932,0.1188,0.0,0.0,1.0,True Eclipse
WASP-46b,True,0.7229,0.1407,0.008,0.103,0.889,True Eclipse
HD191939b,False,0.6138,0.0332,0.0,0.0,1.0,True Eclipse
TOI-4914b,False,1.705,0.118,1.0,0.0,0.0,False Eclipse
TOI-1898b,False,1.8618,0.0534,0.965,0.0153,0.0196,False Eclipse
WASP-17b,True,0.3797,0.1302,0.0,0.0,1.0,True Eclipse
TOI-5108b,False,0.8498,0.0472,0.0936,0.104,0.8024,True Eclipse
WASP-91b,False,0.4896,0.1231,0.0,0.0081,0.9919,True Eclipse
WASP-121b,True,0.1489,0.1245,0.0,0.0,1.0,True Eclipse
WASP-172b,False,0.4353,0.0845,0.0071,0.0031,0.9898,True Eclipse
HATS-51b,False,0.3345,0.101,0.006,0.0039,0.9901,True Eclipse
WASP-173Ab,False,0.2701,0.1203,0.0046,0.0038,0.9915,True Eclipse
Kepler-138b,False,0.7119,0.011,0.0,0.0,0.0,False Eclipse
HD118203b,False,0.1683,0.0554,0.0,0.0,1.0,True Eclipse
WASP-136b,False,0.5675,0.064,0.0053,0.004,0.9907,True Eclipse
WASP-186b,False,0.8166,0.078,0.2288,0.1551,0.616,True Eclipse
TRAPPIST-1b,True,0.0962,0.0859,0.0,0.0,1.0,True Eclipse
TRAPPIST-1c,True,0.1029,0.0844,0.0,0.0,1.0,True Eclipse
TRAPPIST-1d,False,0.0734,0.0606,0.0,0.0,1.0,True Eclipse
TRAPPIST-1e,False,0.1862,0.0708,0.0,0.0,1.0,True Eclipse
TRAPPIST-1f,False,0.3039,0.0804,0.0,0.0,1.0,True Eclipse
TRAPPIST-1g,False,0.3705,0.0869,0.0,0.0,1.0,True Eclipse
TRAPPIST-1h,False,0.3694,0.0581,0.0,0.0,1.0,True Eclipse
WASP-148b,False,0.2757,0.085,0.0,0.0,1.0,True Eclipse
GJ341b,False,0.3356,0.016,0.0085,0.0004,0.9911,True Eclipse
TOI-5882b,False,0.2127,0.0465,0.0,0.0,1.0,True Eclipse
LHS1678c,False,0.4483,0.0262,0.003,0.0017,0.9952,True Eclipse
Kepler-444e,False,0.2983,0.0066,0.0051,0.0002,0.9947,True Eclipse
WASP-62b,True,0.2214,0.1067,0.0,0.0,1.0,True Eclipse
WASP-89b,False,0.1306,0.1214,0.0,0.0,1.0,True Eclipse
XO-7b,False,0.7336,0.0953,0.0,0.0045,0.9955,True Eclipse
K2-415b,False,0.3298,0.0472,0.0084,0.0014,0.9901,True Eclipse
HATS-13b,False,0.2322,0.1402,0.0,0.0,1.0,True Eclipse
Qatar-7b,False,0.0901,0.11,0.0,0.0,1.0,True Eclipse
TOI-1248b,False,0.5691,0.0719,0.0082,0.0148,0.977,True Eclipse
HAT-P-60b,False,0.6565,0.0762,0.0067,0.0159,0.9774,True Eclipse
HATS-3b,False,0.4724,0.1011,0.0,0.004,0.996,True Eclipse
TOI-3568b,False,0.2613,0.067,0.0016,0.0041,0.9943,True Eclipse
HD77946b,False,0.4489,0.0189,0.0337,0.0077,0.9586,True Eclipse
TOI-150.01,False,0.326,0.0826,0.0022,0.0039,0.994,True Eclipse
WASP-72b,False,0.5666,0.0656,0.0367,0.0489,0.9144,True Eclipse
HAT-P-43b,False,0.1803,0.1193,0.0,0.0,1.0,True Eclipse
TOI-169b,False,0.8988,0.0866,0.1007,0.3552,0.5441,True Eclipse
HAT-P-15b,False,0.246,0.1019,0.0,0.0,1.0,True Eclipse
Wolf327b,False,0.4599,0.028,0.0,0.0,1.0,True Eclipse
TOI-700c,False,0.9507,0.0573,0.1578,0.3737,0.4685,True Eclipse
TOI-3235b,False,0.5006,0.2828,0.0,0.021,0.979,True Eclipse
K2-198b,False,0.4964,0.039,0.0012,0.0027,0.9961,True Eclipse
WASP-69b,True,0.6704,0.1336,0.0,0.0,0.0,False Eclipse
TOI-1296b,False,0.1456,0.076,0.0,0.0,1.0,True Eclipse
XO-5b,False,0.523,0.1039,0.0008,0.0075,0.9917,True Eclipse
WASP-181b,False,0.3221,0.1261,0.0051,0.0043,0.9906,True Eclipse
HATS-65b,False,0.6514,0.1181,0.006,0.0368,0.9573,True Eclipse
TOI-1452b,False,0.1863,0.0557,0.0,0.0,1.0,True Eclipse
KELT-6b,False,0.2405,0.0776,0.0,0.0017,0.9983,True Eclipse
TOI-1836b,False,0.4553,0.0465,0.0035,0.0027,0.9938,True Eclipse
HATS-58Ab,False,0.6314,0.0786,0.0078,0.016,0.9762,True Eclipse
K2-3b,False,0.3073,0.0349,0.0,0.0,1.0,True Eclipse
HAT-P-18b,False,0.3484,0.1365,0.0,0.0,1.0,True Eclipse
HD207496b,False,0.5228,0.0266,0.0685,0.0219,0.9096,True Eclipse
WASP-45b,False,0.8461,0.1137,0.0503,0.3055,0.6443,True Eclipse
TOI-1789b,False,0.9435,0.068,0.1866,0.3462,0.4672,True Eclipse
K2-198d,False,0.0956,0.022,0.0,0.0,1.0,True Eclipse
WASP-94Ab,True,0.1773,0.1097,0.0,0.0016,0.9984,True Eclipse
TOI-2193Ab,False,0.9708,0.1457,0.0,0.0,0.0,False Eclipse
Kepler-6b,True,0.1344,0.0942,0.0,0.0,1.0,True Eclipse
GJ367b,True,0.5953,0.014,0.0,0.0,1.0,True Eclipse
TOI-451d,False,0.3698,0.0425,0.0,0.0,1.0,True Eclipse
WASP-93b,False,0.8891,0.1077,0.0802,0.4046,0.5152,True Eclipse
TOI-1899b,False,0.3276,0.168,0.0,0.0,1.0,True Eclipse
HATS-24b,False,0.3162,0.1334,0.0,0.0059,0.9941,True Eclipse
EPIC211945201b,False,0.8317,0.0407,0.0762,0.0701,0.8537,True Eclipse
TOI-1135b,False,0.0081,0.0697,0.0,0.0,1.0,True Eclipse
TOI-4137b,False,0.5819,0.0865,0.0,0.0,1.0,True Eclipse
HAT-P-31b,False,0.3402,0.08,0.0069,0.0025,0.9906,True Eclipse
WASP-31b,False,0.7489,0.1273,0.0,0.0,0.0,False Eclipse
WASP-96b,True,0.6891,0.1174,0.0092,0.0706,0.9202,True Eclipse
TOI-481b,False,0.2,0.0614,0.0,0.0,1.0,True Eclipse
HAT-P-57b,False,0.1651,0.0967,0.0,0.0,1.0,True Eclipse
HAT-P-37b,False,0.4946,0.1378,0.0,0.0,1.0,True Eclipse
TOI-3976Ab,False,0.4819,0.075,0.0011,0.0048,0.9941,True Eclipse
HAT-P-67b,False,0.1278,0.0834,0.0,0.0,1.0,True Eclipse
K2-155c,False,0.4585,0.0321,0.0557,0.0194,0.9249,True Eclipse
TOI-1273b,False,1.0123,0.096,0.2474,0.5689,0.1838,Grazing Eclipse
TOI-1518b,True,0.8856,0.0988,0.0854,0.3534,0.5612,True Eclipse
WASP-149b,False,0.5685,0.1297,0.0,0.0106,0.9894,True Eclipse
TIC393818343b,False,0.1371,0.103,0.0,0.0,1.0,True Eclipse
TOI-2407b,False,0.269,0.0689,0.0,0.0,1.0,True Eclipse
K2-406b,False,0.5098,0.0439,0.0582,0.0307,0.9111,True Eclipse
TOI-5803b,False,0.3611,0.0393,0.0098,0.0068,0.9833,True Eclipse
HD42813b,False,0.2742,0.032,0.0068,0.0012,0.992,True Eclipse
TOI-837b,False,0.8963,0.0798,0.1015,0.3142,0.5843,True Eclipse
LP714-47b,False,0.7337,0.0751,0.0,0.0091,0.9909,True Eclipse
WASP-26b,True,0.8109,0.1019,0.05,0.2112,0.7388,True Eclipse
WASP-74b,True,0.838,0.0984,0.0508,0.228,0.7211,True Eclipse
K2-107b,False,0.7884,0.083,0.0479,0.1502,0.8019,True Eclipse
WASP-184b,False,0.4039,0.0828,0.0059,0.0034,0.9907,True Eclipse
