Planet Name,TIC ID,Star Temperature [K],Star Rotational Velocity [km/s],Star Rotation Period [days],P_rot_derived,rotation_source,variability_ppm,variability_source
K2-232b,TIC 68577662,5888.0,4.16,,18.744242240524304,vsini_derived,1095.613348677045,rotation_period
Qatar-10b,TIC 229791084,6124.0,5.9,,13.441374055508637,vsini_derived,1293.8067884652335,rotation_period
WASP-60b,TIC 288246496,5900.0,3.4,,21.204306665107204,vsini_derived,1030.099605352245,rotation_period
WASP-20b,TIC 211438925,5940.0,4.75,,18.532916451453257,not_needed,236.9,TESS_measured
HATS-52b,TIC 19684256,6010.0,4.59,,14.411763984211921,vsini_derived,1249.4897230367208,rotation_period
TOI-1820b,TIC 393831507,5734.0,4.5,25.0,25.0,catalog,948.6832980505138,rotation_period
TOI-2202b,TIC 358107516,5169.0,2.14,22.0,22.0,catalog,1516.9496905422945,rotation_period
TOI-4087b,TIC 310002617,6060.0,,,,not_derived,300.0,stellar_type
WASP-2b,TIC 374530847,5180.0,0.9,,60.851813396434366,vsini_derived,912.1069305896716,rotation_period
K2-237b,TIC 16288184,6180.0,11.76,5.07,5.07,catalog,2106.6252211737155,rotation_period
KELT-20b,TIC 69679391,8720.0,117.4,,0.8430326352030504,vsini_derived,3616.3221002007813,rotation_period
WASP-107b,TIC 429302040,4430.0,2.5,17.1,17.1,catalog,1720.6180040292134,rotation_period
TOI-2498b,TIC 263179590,5905.0,,,15.778665365041215,gyro_derived,1194.1424198916618,rotation_period
WASP-197b,TIC 85266608,6050.0,,,,not_derived,800.0,stellar_type
WASP-187b,TIC 15692883,6150.0,15.3,,11.697502507261872,vsini_derived,1386.8985227790438,rotation_period
Kepler-1517b,TIC 158555987,7358.0,,,,not_needed,750.6,TESS_measured
WASP-170b,TIC 118956453,5600.0,5.6,,10.592853198051367,vsini_derived,1457.420192108026,rotation_period
WASP-61b,TIC 13021029,6250.0,11.1,,7.919357776141667,vsini_derived,1685.567997946548,rotation_period
WASP-37b,TIC 368805700,5800.0,2.4,,26.429432232949054,vsini_derived,922.6720018021992,rotation_period
WASP-46b,TIC 231663901,5600.0,1.9,16.0,16.0,not_needed,757.2,TESS_measured
HD191939b,TIC 269701147,5348.0,1.6,,37.154037336448816,vsini_derived,778.1946709802969,rotation_period
TOI-4914b,TIC 49254857,5805.0,2.4,25.7,25.7,catalog,935.6742923277081,rotation_period
TOI-1898b,TIC 91987762,6241.0,,,,not_derived,300.0,stellar_type
WASP-17b,TIC 66818296,6650.0,10.05,,9.892011718919877,not_needed,312.2,TESS_measured
TOI-5108b,TIC 350348197,5808.0,3.3,,24.721448440499795,vsini_derived,954.0130219664903,rotation_period
WASP-91b,TIC 238176110,4920.0,2.4,,22.661327737124815,vsini_derived,1494.6511555362445,rotation_period
