Planet,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,k_rp_rs,Max Tier,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
K2-232b,False,0.1229635731652027,0.0511147354731244,0.1951368500072172,0.08811,2,0.0,0.0,1.0,True Eclipse
TOI-1422b,False,0.2001527033292275,0.0997333392263406,0.3045892354770381,0.0356,2,0.0,0.0,1.0,True Eclipse
TOI-2134b,False,0.2411072447906116,0.1060764930550244,0.3883425025222895,0.03475,2,0.0,0.0,1.0,True Eclipse
HAT-P-4b,True,0.0163901179615804,0.0107724574827319,0.0250986575176451,0.082,2,0.0,0.0,1.0,True Eclipse
HATS-57b,False,0.2747789148364765,0.2005940440418796,0.3487505440440225,0.1218,2,0.0,0.0,1.0,True Eclipse
TOI-5027b,False,0.4321324224625761,0.3981930628413876,0.467280488980538,0.106,2,0.0,0.0,1.0,True Eclipse
TOI-2076c,False,0.0700708543380441,0.028317324458265,0.1223082833130619,0.04069,2,0.0,0.0,1.0,True Eclipse
TOI-1268b,False,0.3711529435983865,0.2873706792936746,0.4590604867517142,0.091,2,0.0,0.0,1.0,True Eclipse
XO-4b,True,0.1512998472538045,0.0753170540037606,0.2370058677397097,0.088588522,2,0.0,0.0,1.0,True Eclipse
NGTS-13b,False,0.1738253807448951,0.0687606676502097,0.2917750035790796,0.06563478,2,0.0,0.0,1.0,True Eclipse
WASP-65b,True,0.1375668128888135,0.0634308492817968,0.2412463352825514,0.113140699,2,0.0,0.0,1.0,True Eclipse
TOI-481b,False,0.1999888314219748,0.1255678391402841,0.2771701821823429,0.0614,2,0.0,0.0,1.0,True Eclipse
TOI-2977b,False,0.1016035801139616,0.0396717053196179,0.1675265809290844,0.112435594,2,0.0,0.0,1.0,True Eclipse
TOI-5882b,False,0.2127445402884759,0.0870908821773601,0.3402235461360693,0.0465,2,0.0,0.0,1.0,True Eclipse
WASP-55b,False,0.0718717849914503,0.0351163103375384,0.1131659750335727,0.125389331,2,0.0,0.0,1.0,True Eclipse
Qatar-5b,False,0.1753062686103979,0.0752898718162686,0.3010361647606143,0.1061,2,0.0,0.0,1.0,True Eclipse
HATS-37Ab,False,0.138766820029859,0.0599370318137206,0.2365717899246744,0.0707,2,0.0,0.0,1.0,True Eclipse
TOI-1266b,False,0.5441072488359735,0.4884835269323736,0.6034595172046099,0.0545,2,0.0,0.0,1.0,True Eclipse
CoRoT-19b,False,0.2326501335747262,0.1519512059980708,0.3154383502907288,0.0786,2,0.0,0.0,1.0,True Eclipse
WASP-117b,False,0.1865214071557734,0.1222769615347516,0.2542869161239686,0.089675813,2,0.0,0.0,1.0,True Eclipse
TOI-3023b,False,0.1296374964603601,0.0484565170715116,0.2193124181701501,0.090317804,2,0.0,0.0,1.0,True Eclipse
WASP-118b,False,0.1501043589807862,0.061887264153372,0.2580793730295561,0.087251336,2,0.0,0.0,1.0,True Eclipse
WASP-41b,False,0.0978079444801146,0.0481074152799659,0.1560646462744524,0.13619151,2,0.0,0.0,1.0,True Eclipse
TOI-815b,False,0.2664455292512427,0.1853194036040368,0.3564238454516484,0.0349,2,0.0,0.0,1.0,True Eclipse
HAT-P-11b,True,0.2265037172891427,0.2102059611071507,0.2426383046336013,0.058993,2,0.0,0.0,1.0,True Eclipse
HD97658b,False,0.2424853344643904,0.1047199192821405,0.3923051016227541,0.0306,2,0.0,0.0,1.0,True Eclipse
WASP-22b,False,0.1281472072694998,0.0613873463398197,0.2043380167019744,0.101853281,2,0.0,0.0,1.0,True Eclipse
TOI-1728b,False,0.4078025043194183,0.3074885542434679,0.5465071531996237,0.074,2,0.0,0.0,1.0,True Eclipse
WASP-132b,False,0.1800973373235702,0.1416104341617363,0.2244374624666059,0.12219,2,0.0,0.0,1.0,True Eclipse
TOI-6478b,False,0.1785594514390275,0.1177978551552141,0.2577640161284518,0.18027,2,0.0,0.0,1.0,True Eclipse
HAT-P-68b,False,0.2088449156595185,0.1441343981787849,0.2900481711663477,0.1644,2,0.0,0.0,1.0,True Eclipse
TOI-270d,False,0.1846608272714519,0.0865946370022567,0.2983776353591993,0.05163,2,0.0,0.0,1.0,True Eclipse
HD235088b,False,0.4091363237826794,0.3087181390690883,0.5003700896839014,0.02375,2,0.0,0.0,1.0,True Eclipse
WASP-180Ab,False,0.2815224581023526,0.2222919575959899,0.3271654122785072,0.107080445,2,0.0,0.0,1.0,True Eclipse
TOI-561c,False,0.136443560697136,0.0547926494868933,0.2083620097962528,0.0316,2,0.0,0.0,1.0,True Eclipse
SPECULOOS-3b,False,0.1254258374456166,0.0526534995901316,0.2148446025775628,0.07273,2,0.0,0.0,1.0,True Eclipse
HD332231b,False,0.1520841476919151,0.0614468603662135,0.2422403483811298,0.06976,2,0.0,0.0,1.0,True Eclipse
TRAPPIST-1b,True,0.0962169179470035,0.0440945009955363,0.1595724932110278,0.0859,2,0.0,0.0,1.0,True Eclipse
TOI-5300b,False,0.1324823495195591,0.0548886159595223,0.2226612492047287,0.1389,2,0.0,0.0,1.0,True Eclipse
TRAPPIST-1f,False,0.3039143319243645,0.234847130319397,0.3579680464708158,0.0804,2,0.0,0.0,1.0,True Eclipse
HD191939b,False,0.6138334251541211,0.578863746953429,0.6595618367099693,0.03319,2,0.0,0.0,1.0,True Eclipse
GJ3470b,True,0.2781472718068976,0.169872460833716,0.4234521009280919,0.07642,2,0.0,0.0,1.0,True Eclipse
HAT-P-9b,False,0.5412324297313464,0.4781050621000454,0.6061246758066633,0.10696,2,0.0,0.0,1.0,True Eclipse
WASP-61b,False,0.0998206414288418,0.0392422076031948,0.1543897426430754,0.089455287,2,0.0,0.0,1.0,True Eclipse
TRAPPIST-1e,False,0.1861858350494858,0.1288783251910523,0.2433990635631625,0.07079,2,0.0,0.0,1.0,True Eclipse
K2-260b,False,0.0845457379103198,0.0328744354011806,0.1335678600381096,0.09617,2,0.0,0.0,1.0,True Eclipse
TRAPPIST-1c,True,0.1028661399398894,0.0482235840022783,0.1651103526273981,0.0844,2,0.0,0.0,1.0,True Eclipse
TOI-3714b,False,0.2688701114085517,0.1696089459868314,0.3702740603978808,0.204,2,0.0,0.0,1.0,True Eclipse
WASP-197b,False,0.412733081168727,0.3236298601474723,0.4876632587066684,0.0627,2,0.0,0.0,1.0,True Eclipse
TRAPPIST-1d,False,0.0734155189533063,0.0297950785071768,0.1271955090613631,0.06063,2,0.0,0.0,1.0,True Eclipse
TOI-4087b,False,0.3155441238444571,0.2341395341085995,0.3990765338549128,0.107568134,2,0.0,0.0,1.0,True Eclipse
WASP-37b,False,0.193151552166516,0.080722020007758,0.3247999904433481,0.11884817,2,0.0,0.0,1.0,True Eclipse
TRAPPIST-1h,False,0.369354395912542,0.2880887111031465,0.4312469122078777,0.05809,2,0.0,0.0,1.0,True Eclipse
LHS1140c,True,0.0975461424232798,0.0387868526782554,0.1595899491431011,0.054013681,2,0.0,0.0,1.0,True Eclipse
WASP-89b,False,0.1306053544715011,0.0523772965118697,0.2220866425795592,0.12144681,2,0.0,0.0,1.0,True Eclipse
HAT-P-15b,False,0.2459891933412629,0.1926627786499118,0.298097761307172,0.1019,2,0.0,0.0,1.0,True Eclipse
HATS-13b,False,0.2322027109734701,0.14795612257383,0.326838265478195,0.1402,2,0.0,0.0,1.0,True Eclipse
Qatar-7b,False,0.090131206973023,0.0327446987541709,0.1703106564758537,0.11,2,0.0,0.0,1.0,True Eclipse
TOI-5005b,False,0.1263656074262026,0.0484763000915382,0.21720629289418,0.0616,2,0.0,0.0,1.0,True Eclipse
LHS3844b,False,0.1786236305030453,0.1079772991805295,0.2512442107706608,0.0635,2,0.0,0.0,1.0,True Eclipse
WASP-154b,False,0.2959350497065334,0.2148187799702756,0.3799753312462679,0.12,2,0.0,0.0,1.0,True Eclipse
TRAPPIST-1g,False,0.3704649290449527,0.2924005587145858,0.4243816638807666,0.08692,2,0.0,0.0,1.0,True Eclipse
TOI-1296b,False,0.1455914547560634,0.061951136523495,0.2332064790502269,0.07599,2,0.0,0.0,1.0,True Eclipse
TIC393818343b,False,0.1370894383314363,0.0545069894403998,0.2181632890727244,0.10295,2,0.0,0.0,1.0,True Eclipse
HAT-P-18b,False,0.3483541598547023,0.2609871218428091,0.4399075156809271,0.1365,2,0.0,0.0,1.0,True Eclipse
Kepler-6b,True,0.1343572757695788,0.1001402794103309,0.1694309126129685,0.09424,2,0.0,0.0,1.0,True Eclipse
HD28109c,False,0.3455263527434622,0.2471144731580964,0.4499640844023514,0.02632,2,0.0,0.0,1.0,True Eclipse
TOI-1135b,False,0.0080699324245358,0.003321750637997,0.0159704780425374,0.0697,2,0.0,0.0,1.0,True Eclipse
TOI-4137b,False,0.5819399379176322,0.5247643943843068,0.64362426318576,0.086540759,2,0.0,0.0,1.0,True Eclipse
HAT-P-37b,False,0.4946382470970426,0.4135453688385919,0.5733964659095404,0.1378,2,0.0,0.0,1.0,True Eclipse
Qatar-9b,False,0.101669674722196,0.0406563445797281,0.1807120087611594,0.1489,2,0.0,0.0,1.0,True Eclipse
HAT-P-43b,False,0.1803122709733446,0.0833127532555738,0.2937463337645254,0.1193,2,0.0,0.0,1.0,True Eclipse
Kepler-5b,True,0.0900597686048961,0.0521618212285667,0.1420280604072445,0.079965,2,0.0,0.0,1.0,True Eclipse
TOI-2015b,False,0.8007859302020001,0.7479264951507497,0.8584277308685739,0.09278,2,0.0,0.0,1.0,True Eclipse
HAT-P-12b,True,0.1930928187715195,0.1079879444703413,0.2854872597154992,0.1406,2,0.0,0.0,1.0,True Eclipse
HAT-P-21b,False,0.3825605772918768,0.282953487059028,0.4791963424365105,0.095,2,0.0,0.0,1.0,True Eclipse
WASP-102b,False,0.1006425426828987,0.0551046855841089,0.1637100181450106,0.0997,2,0.0,0.0,1.0,True Eclipse
WASP-29b,True,0.2594518897158441,0.128882337706088,0.4080351700287624,0.100161098,2,0.0,0.0,1.0,True Eclipse
HAT-P-44b,False,0.1791858748407414,0.1027479848640879,0.2641481268297318,0.1343,2,0.0,0.0,1.0,True Eclipse
K2-287b,False,0.6562239076376181,0.6121697763504568,0.7054753271707642,0.08014,2,0.0,0.0,1.0,True Eclipse
TOI-2107b,False,0.0928515474315144,0.0391121615449072,0.1427774860119275,0.1335,2,0.0,0.0,1.0,True Eclipse
GJ1214b,True,0.269270335261501,0.246657996789876,0.2943039125712776,0.11589,2,0.0,0.0,1.0,True Eclipse
TOI-559b,False,0.1770761385156042,0.1062242106207027,0.2725533578782962,0.09097,2,0.0,0.0,1.0,True Eclipse
TOI-4153b,False,0.1844424618129497,0.1017164084034605,0.2926735027101563,0.0921,2,0.0,0.0,1.0,True Eclipse
TOI-2570b,False,0.3233804395659865,0.2411983747248414,0.4272031383459453,0.114212044,2,0.0,0.0,1.0,True Eclipse
HATS-4b,False,0.2182926317651856,0.1331363290061699,0.308380895473227,0.1132,2,0.0,0.0,1.0,True Eclipse
HAT-P-62b,False,0.2360058315763061,0.1480592879736186,0.3316724521313868,0.0942,2,0.0,0.0,1.0,True Eclipse
LP791-18c,False,0.1414237180599686,0.0677896603360686,0.2190438868478292,0.12261,2,0.0,0.0,1.0,True Eclipse
WASP-56b,False,0.2606724527077591,0.1969562910227118,0.3120586411078201,0.10095,2,0.0,0.0,1.0,True Eclipse
HAT-P-26b,False,0.3231443477937032,0.154496560156851,0.4483883694111593,0.0737,2,0.0,0.0,1.0,True Eclipse
HAT-P-25b,False,0.3326872418832132,0.2648752328857816,0.4174596608154774,0.1269,2,0.0,0.0,1.0,True Eclipse
HAT-P-63b,False,0.2427523597084366,0.1533923230817052,0.3328029204764933,0.1191,2,0.0,0.0,1.0,True Eclipse
