Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_minus_k,one_plus_k,acceptance_fraction
TOI-1007.01,TPC,,0.0009848264621397855,-0.05152666086024011,0.05195091847077109,0.05475087481844045,0.052511487322379896,0.0509660920086313,0.05329165,0.94670835,1.05329165,0.49309375
TOI-1009.01,TPC,,-8.770266895773356e-06,-0.03333086151679832,0.033064776633136964,0.035097338547912076,0.03332209124990255,0.03307354690003274,0.041323447,0.958676553,1.041323447,0.49455208333333334
TOI-1019.01,TPC,,0.0006477305474033442,-0.07953564459155606,0.0836471213080179,0.08440754518815992,0.0801833751389594,0.08299939076061455,0.144211448,0.855788552,1.144211448,0.49590625
TOI-1027.01,TPC,,-0.0011260754666481518,-0.09580152054203195,0.09265247698478567,0.10116584233242895,0.0946754450753838,0.09377855245143382,0.039471509,0.960528491,1.039471509,0.49055208333333333
TOI-1027.02,TPC,,0.0050230629535605335,-0.22152123126285636,0.22559176846287726,0.23178595521499892,0.2265442942164169,0.22056870550931673,0.041158231,0.958841769,1.041158231,0.49878125
TOI-1027.03,TPC,,-0.003264651895573561,-0.12816033999954612,0.12194872995705439,0.132860457727356,0.12489568810397256,0.12521338185262795,0.034785054,0.965214946,1.034785054,0.49321875
TOI-1032.01,TPC,,-0.0025720887800459455,-0.06598128777015243,0.061776880599545766,0.06797574995205526,0.06340919899010648,0.06434896937959171,0.059091652,0.940908348,1.059091652,0.49330208333333336
TOI-1036.01,TPC,,-0.00385026196524135,-0.0750621621273594,0.06756485899743693,0.07546568728263314,0.07121190016211805,0.07141512096267828,0.052545219,0.947454781,1.052545219,0.4960833333333333
TOI-1058.01,TPC,,0.0021625173692949016,-0.049407747156783005,0.05346520127214086,0.05363526990609604,0.05157026452607791,0.05130268390284596,0.03084829,0.96915171,1.03084829,0.4946979166666666
TOI-1080.01,TPC,,0.00020108475846368766,-0.23109995740933875,0.23107585038536996,0.24502712343178032,0.23130104216780245,0.23087476562690626,0.060669222,0.939330778,1.060669222,0.49484375
TOI-1081.01,TPC,,-0.0003206653269214293,-0.057891783814667974,0.059682715622054676,0.06312297115144108,0.05757111848774654,0.06000338094897611,0.078334103,0.921665897,1.078334103,0.4941770833333333
