Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
TOI-1007.01,TPC,,0.0003854312999055,-0.0513741233384445,0.0538506446413009,0.0553627070812023,0.0517595546383501,0.0534652133413954,0.05329165,1.05329165,1,Premium (non-grazing),0.4964895833333333
TOI-1009.01,TPC,,0.0013703531541686,-0.0317800766363354,0.0346762720823516,0.034873146739836,0.033150429790504,0.0333059189281829,0.041323447,1.041323447,1,Premium (non-grazing),0.4949583333333333
TOI-1019.01,TPC,,-2.697710500795083e-05,-0.0768273982837255,0.081505337466129,0.0832516892325977,0.0768004211787176,0.081532314571137,0.144211448,1.144211448,1,Premium (non-grazing),0.4941458333333333
TOI-1027.01,TPC,,-0.0065518891950714,-0.1000915464773049,0.0911840842828562,0.1010960980524397,0.0935396572822335,0.0977359734779277,0.039471509,1.039471509,1,Premium (non-grazing),0.4958229166666666
TOI-1027.02,TPC,,0.0093843055269213,-0.1988196090354797,0.2257369481041929,0.2248569135762842,0.2082039145624011,0.2163526425772715,0.041158231,1.041158231,1,Premium (non-grazing),0.4945
TOI-1027.03,TPC,,0.0037465236563853,-0.123971798780375,0.1330512931815025,0.1351660049164313,0.1277183224367603,0.1293047695251171,0.034785054,1.034785054,1,Premium (non-grazing),0.4949270833333333
TOI-1032.01,TPC,,0.0036052069729097,-0.0639852886026487,0.0692813158820195,0.068800194333528,0.0675904955755584,0.0656761089091097,0.059091652,1.059091652,1,Premium (non-grazing),0.495625
TOI-1036.01,TPC,,0.0005138758777829,-0.0707748354577586,0.0744155340678114,0.0753939930134381,0.0712887113355416,0.0739016581900284,0.052545219,1.052545219,1,Premium (non-grazing),0.4948541666666666
TOI-1058.01,TPC,,-0.0002238817688727,-0.0500894990355026,0.0499341181745497,0.0525185550512087,0.0498656172666298,0.0501579999434224,0.03084829,1.03084829,1,Premium (non-grazing),0.4946666666666666
TOI-1080.01,TPC,,-0.0119970361611543,-0.2495875335638289,0.2293925497210869,0.2494074925095205,0.2375904974026746,0.2413895858822413,0.060669222,1.060669222,1,Premium (non-grazing),0.4975520833333333
TOI-1081.01,TPC,,-0.0015021553406822,-0.0647635137424921,0.0591866594278522,0.0650602586453806,0.0632613584018098,0.0606888147685345,0.078334103,1.078334103,1,Premium (non-grazing),0.4966354166666666
TOI-1082.01,TPC,,-0.0012010652439192,-0.2801850260023874,0.2714057142799692,0.2934383811269931,0.2789839607584682,0.2726067795238884,0.04703643,1.04703643,1,Premium (non-grazing),0.4934375
TOI-1085.01,TPC,,-0.000604228828971,-0.0620347988074122,0.0639382855150117,0.0665193340920159,0.0614305699784412,0.0645425143439827,0.116704756,1.116704756,1,Premium (non-grazing),0.497375
TOI-1086.01,TPC,,0.0006950487238402,-0.0402133274580171,0.0413942295752279,0.0421559916805896,0.0409083761818574,0.0406991808513876,0.069748409,1.069748409,1,Premium (non-grazing),0.495875
TOI-1091.01,TPC,,-0.0016134641568061,-0.0261242022162779,0.0231741072446355,0.026013905409039,0.0245107380594717,0.0247875714014416,0.05205766,1.05205766,1,Premium (non-grazing),0.4978854166666666
TOI-1094.01,TPC,,-0.0002572322750273,-0.0127638731175327,0.0123772041234394,0.0131659563107996,0.0125066408425054,0.0126344363984667,0.030166206,1.030166206,1,Premium (non-grazing),0.4907604166666667
TOI-1095.01,TPC,,6.577237867762655e-05,-0.0196866274492865,0.0194938370434959,0.0203954514182312,0.0197523998279641,0.0194280646648182,0.045854736,1.045854736,1,Premium (non-grazing),0.4932291666666667
