Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],observed_flag
TOI-1007.01,TPC,,0.0003854312999055,-0.0513741233384445,0.0538506446413009,0.0553627070812023,0.0517595546383501,0.0534652133413954,0.05329165,1.05329165,1,Premium (non-grazing),0.4964895833333333,TOI-1007,6596.02,8.257,8.426,6.9989206,0,90,0,0.284,1.401410359,15.70838171,False
TOI-1009.01,TPC,,0.0013703531541686,-0.0317800766363354,0.0346762720823516,0.034873146739836,0.033150429790504,0.0333059189281829,0.041323447,1.041323447,1,Premium (non-grazing),0.4949583333333333,TOI-1009,8868.7,8.578,8.552,1.9600277,0,90,0,0.170762727,0.878315105,9.845017085,False
TOI-1019.01,TPC,,-2.697710500795083e-05,-0.0768273982837255,0.081505337466129,0.0832516892325977,0.0768004211787176,0.081532314571137,0.144211448,1.144211448,1,Premium (non-grazing),0.4941458333333333,TOI-1019,7645.0,10.083,10.178,5.2341008,0,90,0,2.079694163,2.19206619,24.57082769,False
TOI-1027.01,TPC,,-0.0065518891950714,-0.1000915464773049,0.0911840842828562,0.1010960980524397,0.0935396572822335,0.0977359734779277,0.039471509,1.039471509,1,Premium (non-grazing),0.4958229166666666,TOI-1027,4272.0,8.548,9.188,3.2834565,0,90,0,0.1558,0.26129602,2.928862051,False
TOI-1027.02,TPC,,0.0093843055269213,-0.1988196090354797,0.2257369481041929,0.2248569135762842,0.2082039145624011,0.2163526425772715,0.041158231,1.041158231,1,Premium (non-grazing),0.4945,TOI-1027,4272.0,8.548,9.188,11.02875,0,90,0,0.1694,0.272461894,3.054020116,False
TOI-1027.03,TPC,,0.0037465236563853,-0.123971798780375,0.1330512931815025,0.1351660049164313,0.1277183224367603,0.1293047695251171,0.034785054,1.034785054,1,Premium (non-grazing),0.4949270833333333,TOI-1027,4272.0,8.548,9.188,5.0113292,0,90,0,0.121,0.230272329,2.581118095,False
TOI-1032.01,TPC,,0.0036052069729097,-0.0639852886026487,0.0692813158820195,0.068800194333528,0.0675904955755584,0.0656761089091097,0.059091652,1.059091652,1,Premium (non-grazing),0.495625,TOI-1032,10395.0,9.395,9.372,5.6643704,0,90,0,0.34918233,1.344633467,15.07197062,False
TOI-1036.01,TPC,,0.0005138758777829,-0.0707748354577586,0.0744155340678114,0.0753939930134381,0.0712887113355416,0.0739016581900284,0.052545219,1.052545219,1,Premium (non-grazing),0.4948541666666666,TOI-1036,5771.0,9.374,9.687,3.7795212,0,90,0,0.2761,0.601084005,6.737539029,False
TOI-1058.01,TPC,,-0.0002238817688727,-0.0500894990355026,0.0499341181745497,0.0525185550512087,0.0498656172666298,0.0501579999434224,0.03084829,1.03084829,1,Premium (non-grazing),0.4946666666666666,TOI-1058,5846.0,8.398,8.706,11.1296441,0,90,0,0.095161698,1.034921672,11.60041708,False
TOI-1080.01,TPC,,-0.0119970361611543,-0.2495875335638289,0.2293925497210869,0.2494074925095205,0.2375904974026746,0.2413895858822413,0.060669222,1.060669222,1,Premium (non-grazing),0.4975520833333333,TOI-1080,3227.0,10.467,11.044,3.9652485,0,90,0,0.368075444,0.11806928,1.323436289,False
