Planet,Dataset,T_p (K),Eclipse Depth (ppm),Depth Error,b_occ
TOI-3195.01,TPC,5047,978,+153/-146,-0.000
TOI-472.01,TPC,1324,972,+153/-138,0.001
TOI-7388.01,TPC,3453,93442,+9546/-8665,0.000
TOI-5883.01,TPC,4048,719,+390/-304,-0.000
TOI-3668.01,TPC,4370,664,+102/-94,0.000
TOI-2645.01,TPC,1938,656,+82/-75,-0.002
TOI-3233.01,TPC,3877,624,+102/-92,0.001
TOI-3330.01,TPC,3224,612,+79/-72,0.000
TOI-7425.01,TPC,2912,585,+69/-63,0.001
TOI-5684.01,TPC,2128,563,+75/-68,-0.000
TOI-4266.01,TPC,3600,555,+73/-69,0.000
TOI-326.01,TPC,4726,3558,+1992/-1565,-0.000
TOI-3143.01,TPC,3669,1090,+183/-164,0.001
